company1,company2,company3,company4,company5,company6,company7,company8,company9,outcome
20.938,?,21.875,42.875,64.75,28.375,66.25,18.875,43.5,1
45.25,25.0,16.5,?,49.875,16.375,64.0,25.375,39.0,1
45.875,38.375,17.5,54.875,47.25,24.0,81.25,27.125,40.75,1
28.328000000000007,52.625,22.5,42.875,?,34.5,70.5,20.625,42.25,1
26.281,53.375,22.625,43.625,65.0,32.25,66.0,21.125,48.75,1
25.563,49.375,21.25,39.0,63.875,29.875,63.5,19.625,40.75,1
26.438,50.25,20.125,40.625,83.5,26.75,67.5,21.75,43.625,1
28.891,50.75,22.25,42.75,73.25,32.875,72.25,21.5,45.875,1
?,44.875,15.5,44.25,61.5,17.25,68.875,23.0,49.25,0
52.25,27.5,17.375,?,43.375,22.875,75.0,27.875,40.625,0
29.219,50.75,22.875,42.75,74.0,32.625,73.75,22.625,47.625,1
26.281,50.75,19.5,39.5,75.0,25.625,68.875,20.625,41.0,1
46.5,26.0,19.875,45.625,42.5,18.875,68.875,27.625,37.75,0
35.922,58.375,20.375,48.875,73.875,25.625,79.5,23.25,49.125,0
47.0,?,14.75,36.125,47.625,16.75,63.25,24.625,39.0,0
39.0,46.25,15.25,41.25,60.25,17.375,67.25,21.625,48.375,0
28.063,?,21.125,40.625,77.375,30.75,71.625,?,43.0,1
43.328,37.875,13.875,38.75,54.5,16.25,60.5,21.25,50.0,0
41.422,36.25,13.5,?,52.875,17.875,60.625,21.5,47.875,0
27.172,50.125,20.0,?,84.0,26.25,68.75,21.5,44.0,1
?,25.375,19.25,?,43.75,18.875,?,26.625,36.5,0
?,53.625,19.0,49.875,67.5,21.125,81.875,27.125,46.875,0
37.328,?,18.375,47.875,68.625,18.75,80.625,?,47.125,0
36.828,58.0,20.375,50.125,70.75,25.0,80.375,23.375,48.25,0
34.172,57.125,21.5,44.875,79.0,25.625,73.375,?,45.5,0
48.375,23.875,15.625,49.375,?,26.125,77.875,28.875,40.875,0
37.578,?,20.0,51.5,72.375,24.375,80.75,23.875,48.375,0
37.422,?,21.0,49.5,72.625,23.75,78.25,24.375,47.375,0
40.75,24.25,15.75,38.375,47.375,15.875,64.625,24.375,37.625,1
57.625,32.125,?,41.75,34.875,18.25,62.125,27.0,47.125,0
?,24.5,15.25,49.375,40.75,26.75,?,27.875,42.125,0
45.75,41.875,17.875,55.875,50.375,25.375,80.0,?,42.125,1
32.891,56.375,20.25,45.25,84.125,26.625,69.375,21.875,45.25,0
27.672,50.25,21.5,41.875,67.75,30.25,69.625,21.875,?,1
17.891,51.375,?,44.0,62.0,26.125,68.125,19.125,?,1
?,56.5,20.875,45.125,78.875,26.25,?,22.25,44.0,0
26.438,51.375,22.125,40.125,64.0,30.0,65.875,21.0,41.875,1
39.5,40.75,13.875,41.75,60.25,17.375,67.125,22.875,47.5,0
45.875,46.75,19.0,58.625,55.5,30.5,87.25,?,42.75,1
39.328,?,13.5,41.625,59.875,17.75,66.625,23.125,47.625,0
33.5,56.25,20.75,43.5,78.625,26.25,68.375,21.875,42.875,0
33.422,58.125,19.875,47.625,73.0,25.5,77.875,22.75,48.375,0
34.25,57.125,21.5,47.0,73.375,?,77.25,?,48.5,0
27.563,50.375,20.875,39.875,76.875,?,71.0,20.625,42.0,1
44.672,37.5,14.375,43.75,57.25,17.125,61.75,21.625,50.25,0
34.0,58.75,?,48.125,74.375,25.625,78.125,?,48.75,0
26.109,53.0,22.5,43.875,64.375,?,65.125,20.875,?,1
43.875,44.5,19.125,57.5,50.875,29.375,83.5,26.625,44.5,0
24.672,53.375,20.625,41.625,60.875,29.375,64.125,?,46.5,1
27.781,50.125,20.0,43.25,88.875,27.0,69.875,22.0,45.0,1
21.063,52.5,19.125,47.25,62.25,29.875,68.875,18.125,47.25,1
?,30.625,14.25,39.75,?,17.0,61.0,26.875,44.25,0
27.938,50.625,20.0,44.125,90.25,?,68.375,22.25,?,1
20.938,54.25,24.375,44.75,61.875,30.0,66.5,?,?,1
34.828,56.875,20.75,45.125,83.5,26.75,69.875,22.0,44.125,0
?,29.375,?,52.125,38.375,26.25,79.25,27.0,39.625,0
28.063,52.125,21.375,43.375,?,34.875,70.0,20.125,42.5,1
47.0,37.25,14.0,41.375,55.125,16.875,65.375,24.0,46.875,0
49.0,47.0,19.5,49.5,60.875,22.75,75.625,25.5,40.5,1
52.0,28.0,17.25,52.625,45.5,23.75,77.75,29.0,40.875,0
28.828000000000007,?,22.75,43.75,75.0,33.125,72.25,20.375,44.125,1
46.0,20.0,14.125,?,?,15.125,64.25,22.375,31.5,1
38.25,58.0,20.625,51.375,70.625,?,79.0,23.75,?,0
?,39.125,15.75,56.0,49.375,22.125,81.625,26.25,40.0,1
47.625,?,15.5,37.125,50.875,17.25,64.0,25.5,39.5,0
57.75,26.75,15.75,38.125,?,14.375,58.375,26.625,43.75,0
39.25,45.125,16.125,39.75,61.5,17.5,68.625,21.0,49.375,0
46.125,24.75,15.75,?,41.625,24.125,?,26.5,40.375,0
?,53.0,20.25,40.75,?,29.0,61.75,18.75,?,1
49.25,24.5,14.5,46.5,41.0,25.75,75.25,27.5,40.75,0
27.328000000000007,50.25,19.75,40.75,79.5,28.125,67.125,21.75,42.25,1
34.672,57.625,21.875,44.875,79.0,26.0,73.125,22.25,45.5,0
43.875,23.375,14.75,40.25,?,16.0,?,24.5,35.875,1
28.281,50.875,20.0,43.75,89.75,27.625,68.0,22.375,?,1
41.422,42.75,15.25,45.125,62.25,17.75,67.25,22.25,48.75,0
25.719,54.75,23.0,45.125,64.0,29.5,65.25,21.5,48.75,1
25.828000000000007,52.75,21.625,44.0,64.0,29.0,65.625,20.375,47.5,1
37.578,52.25,18.75,48.5,68.625,19.25,80.5,?,?,0
49.0,25.5,18.0,51.0,46.125,25.25,?,27.75,42.0,0
33.75,60.25,21.5,47.75,79.25,26.625,77.0,22.125,?,0
30.5,53.875,21.375,44.625,91.875,27.25,69.0,22.0,45.125,1
27.109,51.125,21.25,39.375,63.875,30.0,67.125,20.125,44.0,1
48.25,25.375,18.125,?,49.75,26.25,?,27.75,41.25,0
38.0,45.5,15.125,41.0,60.125,17.0,66.375,21.75,?,0
36.922,51.0,18.375,47.25,69.25,18.5,78.0,23.625,47.0,0
31.891,55.125,21.25,45.75,93.0,27.5,67.375,21.875,45.0,1
21.781,55.0,20.75,43.25,62.75,28.875,66.75,18.625,43.0,1
20.891,54.5,21.625,?,64.25,28.625,?,19.0,44.0,1
59.25,31.75,?,?,40.875,17.75,61.125,27.25,44.75,0
