A2,A3,A4,A5,A6,A7,A10,A12,A13,A14,A1,A8,A9,A11,outcome
282.0,132.0,2.0,8.0,?,106.0,?,2.0,1.0,164.0,0.0,1.0,?,1.0,1
80.0,?,2.0,8.0,8.0,35.0,1.0,2.0,137.0,77.0,1.0,?,0.0,?,1
?,?,1.0,10.0,2.0,26.0,1.0,2.0,92.0,1.0,0.0,0.0,0.0,0.0,0
163.0,?,2.0,2.0,4.0,?,1.0,?,102.0,1.0,0.0,1.0,0.0,1.0,0
67.0,40.0,1.0,1.0,?,?,1.0,2.0,?,1.0,?,0.0,?,0.0,0
49.0,14.0,2.0,8.0,4.0,?,1.0,2.0,1.0,35.0,1.0,0.0,0.0,0.0,0
263.0,?,2.0,11.0,?,6.0,?,?,166.0,?,1.0,1.0,?,0.0,0
?,20.0,2.0,?,1.0,1.0,4.0,2.0,114.0,?,1.0,?,1.0,?,0
?,66.0,2.0,?,1.0,3.0,1.0,2.0,32.0,?,1.0,?,0.0,1.0,0
291.0,46.0,2.0,5.0,3.0,?,1.0,2.0,?,26.0,0.0,1.0,0.0,1.0,0
88.0,?,?,?,5.0,81.0,1.0,2.0,69.0,?,0.0,0.0,0.0,?,0
?,?,1.0,3.0,8.0,2.0,1.0,2.0,45.0,50.0,1.0,0.0,0.0,0.0,0
90.0,34.0,?,1.0,1.0,14.0,4.0,2.0,63.0,65.0,?,?,1.0,0.0,0
?,102.0,2.0,8.0,4.0,85.0,?,2.0,1.0,201.0,1.0,?,1.0,0.0,1
178.0,?,2.0,6.0,?,43.0,3.0,2.0,?,?,1.0,?,?,?,0
231.0,51.0,2.0,14.0,4.0,4.0,6.0,2.0,?,1.0,1.0,1.0,1.0,?,1
180.0,49.0,2.0,2.0,4.0,?,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0
226.0,?,2.0,4.0,4.0,3.0,1.0,2.0,?,1.0,1.0,1.0,?,1.0,1
4.0,20.0,2.0,8.0,8.0,37.0,3.0,2.0,?,1.0,0.0,1.0,1.0,0.0,1
32.0,?,1.0,8.0,4.0,5.0,2.0,2.0,?,2.0,?,0.0,?,0.0,0
130.0,?,?,14.0,?,84.0,3.0,?,136.0,8.0,1.0,1.0,?,?,1
?,54.0,2.0,?,4.0,49.0,6.0,2.0,77.0,?,0.0,1.0,1.0,0.0,1
?,28.0,2.0,?,?,?,9.0,2.0,103.0,?,1.0,?,1.0,1.0,1
132.0,?,?,9.0,4.0,23.0,?,1.0,98.0,1.0,0.0,?,0.0,0.0,1
?,73.0,?,?,?,5.0,4.0,2.0,32.0,7.0,?,1.0,1.0,0.0,1
?,64.0,?,?,4.0,47.0,12.0,2.0,69.0,200.0,?,?,1.0,1.0,1
57.0,?,?,12.0,7.0,20.0,1.0,2.0,?,3.0,1.0,0.0,0.0,?,0
65.0,63.0,2.0,4.0,4.0,20.0,?,2.0,63.0,1.0,1.0,0.0,?,0.0,0
96.0,67.0,1.0,6.0,4.0,7.0,1.0,2.0,?,?,0.0,?,0.0,1.0,1
?,59.0,1.0,4.0,1.0,1.0,1.0,2.0,38.0,1.0,1.0,0.0,?,?,0
?,85.0,2.0,8.0,4.0,?,2.0,2.0,11.0,67.0,0.0,0.0,1.0,1.0,0
196.0,66.0,?,13.0,?,?,1.0,2.0,?,1.0,1.0,0.0,0.0,0.0,0
130.0,30.0,2.0,7.0,?,25.0,4.0,?,129.0,1.0,1.0,1.0,1.0,?,1
268.0,123.0,1.0,8.0,4.0,?,?,?,53.0,3.0,1.0,0.0,?,0.0,0
289.0,119.0,2.0,11.0,?,96.0,?,?,114.0,1.0,1.0,1.0,?,1.0,1
223.0,93.0,2.0,8.0,4.0,?,1.0,?,?,1.0,0.0,0.0,0.0,?,0
313.0,?,2.0,1.0,?,?,12.0,2.0,9.0,?,1.0,?,?,1.0,1
215.0,?,2.0,8.0,5.0,85.0,1.0,1.0,98.0,1.0,?,1.0,0.0,1.0,0
?,168.0,2.0,?,4.0,39.0,?,?,32.0,161.0,?,?,0.0,1.0,0
?,?,2.0,14.0,8.0,24.0,1.0,2.0,117.0,?,0.0,1.0,0.0,0.0,1
?,?,2.0,?,?,7.0,1.0,?,102.0,1.0,0.0,0.0,0.0,1.0,0
?,129.0,2.0,?,5.0,?,?,?,1.0,?,1.0,1.0,?,1.0,1
?,10.0,?,8.0,8.0,7.0,1.0,2.0,?,78.0,?,0.0,0.0,0.0,0
143.0,26.0,1.0,8.0,4.0,2.0,1.0,2.0,86.0,1.0,1.0,?,0.0,0.0,0
32.0,1.0,?,11.0,4.0,18.0,1.0,2.0,?,2.0,1.0,?,0.0,0.0,0
297.0,29.0,2.0,6.0,4.0,?,1.0,2.0,?,56.0,0.0,?,0.0,1.0,0
?,47.0,?,13.0,4.0,38.0,2.0,2.0,156.0,?,?,?,1.0,1.0,1
49.0,107.0,?,11.0,4.0,10.0,?,?,53.0,1.0,1.0,1.0,1.0,?,0
?,196.0,1.0,10.0,9.0,1.0,1.0,2.0,1.0,232.0,0.0,1.0,0.0,0.0,1
348.0,?,1.0,1.0,1.0,?,?,2.0,1.0,102.0,1.0,0.0,1.0,0.0,0
42.0,?,2.0,?,?,47.0,1.0,?,44.0,?,1.0,0.0,?,?,0
?,8.0,?,6.0,4.0,2.0,1.0,2.0,98.0,135.0,1.0,?,0.0,0.0,0
275.0,?,2.0,13.0,?,11.0,12.0,2.0,141.0,7.0,0.0,?,1.0,?,1
131.0,102.0,2.0,9.0,4.0,117.0,1.0,2.0,20.0,?,1.0,1.0,0.0,1.0,1
6.0,6.0,?,?,?,26.0,3.0,2.0,107.0,2.0,?,0.0,1.0,?,0
306.0,46.0,2.0,?,4.0,?,1.0,2.0,1.0,101.0,1.0,?,0.0,1.0,0
255.0,103.0,2.0,11.0,8.0,?,1.0,?,?,1.0,?,1.0,?,?,1
248.0,?,2.0,11.0,?,?,7.0,2.0,148.0,1.0,1.0,?,?,?,1
136.0,85.0,2.0,8.0,4.0,28.0,?,2.0,121.0,1.0,0.0,1.0,1.0,1.0,1
?,?,?,?,8.0,124.0,?,2.0,1.0,221.0,0.0,1.0,1.0,0.0,1
218.0,?,1.0,?,?,37.0,1.0,2.0,138.0,1.0,1.0,0.0,0.0,1.0,1
28.0,55.0,2.0,3.0,4.0,37.0,3.0,2.0,38.0,94.0,?,?,1.0,0.0,1
10.0,70.0,?,6.0,4.0,18.0,2.0,2.0,24.0,?,1.0,0.0,1.0,0.0,0
340.0,192.0,2.0,?,1.0,1.0,?,2.0,1.0,171.0,0.0,1.0,1.0,1.0,1
200.0,95.0,?,14.0,?,95.0,1.0,1.0,?,?,1.0,0.0,?,1.0,1
133.0,74.0,1.0,14.0,8.0,59.0,2.0,2.0,?,1.0,0.0,1.0,1.0,0.0,1
116.0,18.0,2.0,4.0,1.0,1.0,1.0,2.0,32.0,1.0,1.0,0.0,0.0,0.0,0
18.0,151.0,2.0,9.0,?,5.0,2.0,2.0,38.0,?,?,0.0,1.0,?,0
44.0,110.0,?,?,4.0,42.0,1.0,1.0,38.0,?,1.0,1.0,0.0,?,1
188.0,95.0,2.0,6.0,4.0,?,1.0,2.0,?,?,1.0,1.0,0.0,1.0,0
69.0,111.0,?,?,4.0,?,8.0,2.0,?,202.0,0.0,1.0,?,0.0,1
