CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,CHAS,outcome
0.09164,0.0,10.81,0.413,?,7.8,52.87300000000001,4.0,?,19.2,390.91,5.52,?,0
0.1146,?,6.96,0.464,6.5379999999999985,?,39.175,?,223.0,18.6,394.96,7.73,0.0,0
0.07165,0.0,25.65,?,6.004,84.1,?,?,188.0,19.1,377.67,14.27,?,1
347.42800000000005,?,?,0.718,8.78,82.9,?,24.0,666.0,20.2,?,?,1.0,1
?,?,18.1,0.77,6.251,?,22.955,24.0,666.0,20.2,350.65,14.19,0.0,1
0.02009,95.0,2.68,0.4161,8.033999999999999,?,5.118,4.0,?,?,390.55,2.88,0.0,0
?,?,18.1,?,?,94.8,19.879,24.0,666.0,20.2,43.06,?,0.0,1
0.13058,0.0,10.01,0.547,5.872000000000001,?,24.775,6.0,432.0,17.8,338.63,?,0.0,1
0.40202,0.0,9.9,0.544,6.3820000000000014,67.2,35.325,?,304.0,18.4,395.21,10.36,?,0
0.03237,0.0,2.18,0.458,?,45.8,60.622,3.0,?,18.7,?,2.94,?,0
?,30.0,4.93,0.428,?,7.8,70.355,6.0,?,16.6,374.71,?,0.0,0
215.505,?,19.58,0.871,5.627999999999999,100.0,15.166,5.0,403.0,?,169.27,16.65,0.0,1
119.511,0.0,18.1,0.659,5.608,?,12.852,24.0,666.0,20.2,?,?,0.0,0
0.01965,80.0,1.76,?,6.23,?,90.892,?,241.0,18.2,341.6,12.93,?,1
918.702,?,18.1,0.7,5.5360000000000005,100.0,?,24.0,666.0,?,396.9,23.6,0.0,1
0.03705,20.0,3.33,0.4429,?,?,52.447,?,216.0,14.9,392.23,4.59,0.0,0
?,0.0,13.92,?,?,?,?,?,?,16.0,?,8.58,0.0,0
?,?,18.1,0.584,6.832999999999998,94.3,20.882,24.0,666.0,?,?,?,?,1
?,30.0,?,?,6.897,54.3,63.361,6.0,300.0,?,391.25,11.38,0.0,1
0.05083,0.0,5.19,0.515,?,38.1,64.584,?,?,20.2,389.71,5.68,?,1
?,0.0,12.83,0.4370000000000001,6.232,?,50.14100000000001,5.0,398.0,18.7,386.4,?,0.0,1
?,45.0,3.44,?,6.739,30.8,64.798,?,398.0,?,?,4.69,0.0,0
0.21977,0.0,6.91,?,5.602,62.0,60.877,?,233.0,17.9,396.9,16.2,?,1
0.01778,95.0,1.47,0.403,?,13.9,76.53399999999998,3.0,?,17.0,?,4.45,0.0,0
0.06076,0.0,11.93,0.573,6.976,?,21.675,1.0,?,21.0,396.9,5.64,?,0
939.063,?,18.1,0.74,5.627000000000002,93.9,?,24.0,666.0,?,396.9,?,0.0,1
511.358,0.0,?,0.597,?,100.0,1.413,24.0,666.0,?,2.6,?,0.0,1
?,?,18.1,0.614,6.484,?,?,24.0,666.0,20.2,396.21,?,0.0,1
?,0.0,7.38,0.493,?,43.7,?,5.0,?,19.6,396.9,?,0.0,1
0.10659,80.0,1.91,0.413,?,19.5,105.857,4.0,334.0,22.0,376.04,5.57,0.0,1
0.0566,0.0,3.41,0.489,7.0070000000000014,?,34.217,2.0,270.0,17.8,396.9,5.5,?,0
?,0.0,10.59,0.489,5.412000000000001,9.8,35.875,?,277.0,18.6,348.93,29.55,0.0,0
0.07151,0.0,?,?,6.121,56.8,37.476,?,247.0,18.5,395.15,8.44,0.0,1
434.879,?,?,0.58,6.167000000000002,84.0,30.334,24.0,666.0,20.2,396.9,?,0.0,1
250.461,0.0,?,0.693,5.987,100.0,15.888,24.0,666.0,20.2,396.9,?,0.0,1
0.09068,45.0,3.44,0.4370000000000001,6.9510000000000005,21.5,?,5.0,398.0,15.2,377.68,5.1,0.0,0
120.482,0.0,18.1,0.614,5.648,?,?,24.0,666.0,20.2,?,14.1,0.0,1
?,95.0,?,0.403,6.975,15.3,76.53399999999998,3.0,?,17.0,396.9,4.56,0.0,0
0.08664,45.0,3.44,?,7.178,?,64.798,5.0,?,?,?,2.87,0.0,0
0.32982,?,21.89,?,5.822,?,?,4.0,437.0,21.2,388.69,15.03,0.0,1
0.49298,?,9.9,0.544,6.635,82.5,33.175,4.0,?,18.4,?,?,0.0,0
?,0.0,18.1,0.597,5.155,100.0,15.894,24.0,666.0,20.2,210.97,20.08,0.0,1
0.06888,0.0,2.46,0.488,?,62.2,25.979,3.0,193.0,17.8,396.9,9.45,0.0,0
0.11027,25.0,5.13,?,6.456,67.8,72.255,8.0,?,19.7,?,6.73,?,1
0.06663999999999999,0.0,4.05,?,6.546,33.1,31.323,?,296.0,16.6,390.96,5.33,?,0
582.401,?,?,0.532,6.242000000000001,64.7,?,24.0,666.0,20.2,396.9,10.74,0.0,0
201.019,0.0,19.58,0.605,7.9289999999999985,?,20.459,5.0,403.0,14.7,?,3.7,0.0,0
0.17171,?,5.13,?,5.966,?,68.185,8.0,284.0,19.7,378.08,14.44,?,1
0.22188,20.0,6.96,?,7.691,?,43.665,3.0,?,?,390.77,6.58,?,0
248.017,0.0,?,0.693,5.349,96.0,?,24.0,666.0,20.2,396.9,19.77,?,1
0.76162,20.0,3.97,0.647,?,62.8,19.865,?,264.0,13.0,?,10.45,?,0
0.09744,0.0,5.96,0.499,5.841,61.4,?,?,279.0,19.2,377.56,11.41,0.0,1
0.09849,0.0,25.65,0.581,5.879,?,20.063,2.0,188.0,19.1,?,17.58,?,1
0.12816,12.5,?,0.409,5.885,33.0,6.497999999999998,4.0,345.0,18.9,?,8.79,0.0,1
0.20608,22.0,5.86,0.431,5.593,?,79.54899999999998,?,330.0,19.1,?,12.5,?,1
?,?,?,?,6.75,74.9,?,?,666.0,20.2,393.07,7.74,0.0,0
?,0.0,6.91,0.448,6.77,2.9,?,3.0,233.0,17.9,?,4.84,0.0,0
0.09252,30.0,4.93,?,?,?,61.899,6.0,?,?,383.78,?,?,0
0.05059,?,4.49,0.449,?,48.0,47.794,3.0,?,18.5,396.9,9.62,0.0,0
0.15445,25.0,5.13,0.453,6.145,?,78.148,?,284.0,19.7,390.68,6.86,0.0,0
?,?,?,0.547,?,88.2,24.631,?,432.0,17.8,344.91,15.76,0.0,1
0.80271,0.0,8.14,0.5379999999999999,5.456,?,37.965,4.0,307.0,21.0,288.99,11.69,?,1
0.0578,0.0,?,0.488,6.98,58.4,2.829,?,193.0,?,396.9,5.04,0.0,0
136.781,0.0,18.1,?,?,?,18.206,24.0,666.0,?,68.95,?,0.0,1
214.918,?,?,?,5.709,98.5,16.232,?,403.0,?,261.95,15.79,0.0,1
133.59799999999998,0.0,18.1,0.693,5.8870000000000005,94.7,?,?,666.0,20.2,?,?,0.0,1
92.323,0.0,18.1,?,?,100.0,?,?,666.0,20.2,?,?,0.0,0
573.116,?,18.1,0.532,7.061,77.0,?,24.0,666.0,?,395.28,7.01,0.0,0
0.97617,0.0,21.89,0.624,5.7570000000000014,98.4,2.346,?,437.0,21.2,262.76,17.31,0.0,1
0.04379,80.0,3.37,0.398,5.787000000000001,31.1,66.115,4.0,337.0,16.1,396.9,10.24,0.0,1
0.98843,0.0,8.14,0.5379999999999999,5.813,?,40.952,4.0,307.0,21.0,394.54,19.88,?,1
0.04297,52.5,5.32,0.405,6.565,?,73.172,?,293.0,?,371.72,9.51,0.0,0
?,0.0,6.2,?,8.725,?,28.944000000000006,8.0,307.0,?,382.0,4.63,0.0,0
0.09103,0.0,2.46,0.488,?,92.2,?,?,?,17.8,394.12,4.82,0.0,0
0.26838,0.0,9.69,0.585,5.794,70.6,28.927,?,391.0,19.2,396.9,14.1,?,1
0.15038,0.0,25.65,0.581,?,97.0,19.444000000000006,?,188.0,19.1,370.31,25.41,0.0,1
0.62356,?,6.2,?,?,77.7,32.721,8.0,307.0,17.4,390.39,9.93,?,0
0.52058,0.0,6.2,?,6.631,76.5,4.148,8.0,307.0,17.4,388.45,9.54,?,0
0.20746,?,27.74,0.609,5.093,98.0,?,4.0,711.0,20.1,318.43,29.68,0.0,1
?,?,13.89,?,5.888,56.0,31.121,5.0,?,16.4,392.8,13.51,1.0,0
