height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,outcome
8.0,27.0,?,3.375,0.218,0.852,2.24,47.0,184.0,21.0,1
?,1.0,?,0.083,1.0,1.0,12.0,?,12.0,1.0,0
5.0,13.0,65.0,2.6,0.4,1.0,1.18,26.0,65.0,22.0,1
14.0,421.0,5894.0,30.071,0.379,?,4.8,?,3424.0,466.0,1
?,122.0,1220.0,12.2,?,0.54,2.03,?,659.0,164.0,1
9.0,?,981.0,12.111,0.243,0.848,1.58,238.0,?,151.0,1
9.0,108.0,972.0,12.0,0.449,0.868,2.55,?,?,171.0,1
7.0,58.0,406.0,8.286,0.212,0.8420000000000001,2.26,86.0,?,38.0,1
10.0,80.0,?,8.0,0.275,?,3.93,220.0,348.0,56.0,1
?,7.0,56.0,0.875,0.393,?,2.0,22.0,?,?,1
8.0,186.0,1488.0,?,?,0.812,2.53,593.0,?,234.0,1
7.0,2.0,?,0.28600000000000003,0.7140000000000001,0.7140000000000001,10.0,10.0,10.0,1.0,1
7.0,46.0,322.0,6.5710000000000015,0.155,0.5870000000000001,4.17,50.0,189.0,12.0,1
8.0,?,232.0,?,0.341,0.78,1.93,79.0,181.0,41.0,1
?,?,4650.0,7.44,0.478,0.953,7.16,2221.0,4433.0,310.0,1
5.0,32.0,?,?,?,?,1.33,56.0,138.0,42.0,1
?,180.0,1620.0,20.0,0.343,0.738,2.47,?,1196.0,225.0,1
6.0,13.0,78.0,?,0.295,0.897,?,23.0,?,?,1
12.0,?,?,8.667,?,?,2.46,418.0,946.0,170.0,1
?,45.0,270.0,7.5,?,0.967,1.64,123.0,261.0,75.0,1
1.0,27.0,27.0,27.0,0.259,?,1.4,?,?,5.0,0
?,31.0,?,?,0.298,?,?,74.0,?,?,1
?,10.0,80.0,1.25,0.28800000000000003,0.813,1.64,23.0,?,14.0,1
7.0,31.0,217.0,4.4289999999999985,?,0.857,1.64,?,?,39.0,1
?,38.0,532.0,2.714,0.244,0.489,2.95,130.0,260.0,44.0,1
?,?,2142.0,10.929,?,?,?,813.0,?,183.0,1
5.0,75.0,375.0,15.0,0.259,0.867,1.18,?,325.0,82.0,1
3.0,3.0,9.0,?,0.889,0.889,8.0,?,?,1.0,1
11.0,?,4697.0,38.81800000000001,0.5660000000000001,?,?,2657.0,2676.0,14.0,0
?,38.0,?,5.4289999999999985,0.308,0.789,1.55,82.0,210.0,?,1
?,58.0,464.0,?,0.442,0.903,3.15,?,?,65.0,1
?,43.0,387.0,4.7780000000000005,0.47,0.948,3.31,?,367.0,55.0,1
3.0,?,?,179.33,0.37,0.424,22.11,?,685.0,27.0,0
9.0,36.0,324.0,4.0,0.349,?,1.82,113.0,229.0,62.0,1
2.0,101.0,202.0,?,0.54,0.743,10.9,109.0,150.0,10.0,0
8.0,27.0,?,3.375,0.236,0.685,1.31,51.0,148.0,?,1
8.0,112.0,896.0,14.0,0.17,0.7859999999999999,?,?,704.0,?,1
10.0,12.0,120.0,1.2,0.333,?,1.82,?,115.0,22.0,1
7.0,100.0,700.0,14.286,0.28300000000000003,0.987,1.68,?,691.0,118.0,1
12.0,71.0,852.0,5.917000000000002,0.631,0.904,6.64,538.0,?,81.0,1
8.0,?,?,?,0.518,0.964,3.22,58.0,108.0,18.0,1
12.0,118.0,1416.0,?,0.35,0.778,2.98,495.0,1102.0,166.0,1
7.0,66.0,?,9.429,0.171,0.903,1.49,79.0,417.0,53.0,1
7.0,?,91.0,1.857,?,0.912,1.47,?,83.0,?,1
5.0,?,15.0,?,0.6,0.933,3.0,9.0,14.0,?,1
?,27.0,918.0,?,0.219,0.5539999999999999,3.09,?,509.0,65.0,0
9.0,17.0,153.0,?,?,?,?,36.0,99.0,25.0,1
11.0,?,88.0,0.727,0.443,0.466,39.0,39.0,41.0,?,1
9.0,?,144.0,?,?,0.715,1.5,30.0,103.0,20.0,1
?,?,4158.0,1.048,0.491,?,?,?,2458.0,46.0,0
7.0,51.0,357.0,?,0.28300000000000003,?,1.35,101.0,325.0,?,1
21.0,?,1428.0,?,0.052000000000000005,0.109,5.69,?,156.0,13.0,0
8.0,17.0,136.0,?,0.265,?,1.71,36.0,?,21.0,1
9.0,107.0,?,11.889,0.371,0.65,2.59,357.0,626.0,138.0,1
11.0,?,1133.0,9.364,0.156,0.5760000000000001,1.44,177.0,?,123.0,1
7.0,35.0,245.0,?,0.31,1.0,1.55,?,245.0,?,1
28.0,82.0,2296.0,?,?,0.39,8.9,?,895.0,70.0,1
7.0,15.0,?,2.143,0.114,0.295,2.4,12.0,31.0,?,0
6.0,?,?,?,0.4,?,1.5,?,58.0,?,1
?,?,1350.0,16.667,0.237,?,1.75,320.0,782.0,?,1
9.0,24.0,216.0,2.667,0.35600000000000004,0.907,2.2,77.0,196.0,?,1
1.0,35.0,35.0,35.0,0.8290000000000001,1.0,9.67,?,35.0,3.0,0
11.0,288.0,3168.0,26.182,0.248,0.5,2.04,787.0,?,386.0,1
10.0,34.0,340.0,3.4,0.303,?,1.84,103.0,?,56.0,1
8.0,71.0,568.0,8.875,0.407,0.903,2.06,231.0,513.0,112.0,1
10.0,?,1430.0,14.3,0.355,0.775,2.33,?,?,218.0,1
10.0,36.0,360.0,3.6,0.3670000000000001,0.8440000000000001,2.24,132.0,?,59.0,1
?,32.0,224.0,?,0.232,0.804,?,52.0,180.0,?,1
14.0,?,5194.0,26.5,?,0.59,4.85,?,3066.0,407.0,1
7.0,86.0,602.0,12.286,0.281,0.958,1.55,169.0,?,?,1
9.0,166.0,1494.0,18.444000000000006,0.386,0.75,2.95,576.0,1121.0,195.0,1
10.0,9.0,90.0,0.9,?,?,1.25,20.0,90.0,16.0,1
?,111.0,999.0,12.333,0.218,0.81,1.7,218.0,809.0,?,1
9.0,55.0,495.0,?,?,0.6990000000000001,1.47,128.0,?,87.0,1
15.0,136.0,2040.0,9.067,0.24,0.748,2.81,489.0,1526.0,?,1
11.0,11.0,121.0,1.0,0.388,0.818,2.24,?,99.0,21.0,1
?,60.0,660.0,5.455,0.32,0.608,2.01,211.0,401.0,105.0,1
4.0,11.0,?,2.75,0.4320000000000001,1.0,?,19.0,44.0,?,1
13.0,375.0,4875.0,?,?,0.519,1.44,?,2531.0,?,1
7.0,7.0,49.0,1.0,0.34700000000000003,0.939,1.89,17.0,46.0,9.0,1
?,27.0,?,9.0,0.481,0.926,1.77,39.0,?,22.0,1
2.0,6.0,12.0,3.0,?,1.0,4.0,8.0,12.0,?,0
9.0,?,207.0,?,0.213,0.507,1.57,?,105.0,28.0,1
9.0,110.0,990.0,?,0.311,?,2.08,?,621.0,148.0,1
9.0,?,?,17.444000000000006,?,0.54,1.58,313.0,763.0,198.0,1
9.0,?,?,19.111,0.16699999999999998,0.6779999999999999,?,?,1050.0,202.0,1
9.0,?,?,9.0,0.337,0.918,1.97,246.0,669.0,?,1
8.0,298.0,2384.0,?,0.242,0.7909999999999999,1.5,576.0,1886.0,383.0,1
?,227.0,3178.0,?,0.237,0.8390000000000001,3.34,754.0,2667.0,?,1
?,16.0,112.0,2.286,0.259,1.0,2.07,29.0,?,14.0,1
?,40.0,320.0,5.0,0.481,?,2.61,154.0,316.0,59.0,1
10.0,21.0,?,2.1,?,0.8190000000000001,2.11,76.0,172.0,36.0,1
8.0,?,1216.0,19.0,0.27,0.623,2.0,328.0,757.0,164.0,1
10.0,9.0,?,?,0.333,0.878,2.5,30.0,79.0,12.0,1
?,133.0,1197.0,14.778,0.236,0.718,1.89,283.0,?,150.0,1
7.0,?,987.0,20.143,0.16,0.757,1.17,158.0,747.0,135.0,1
14.0,348.0,4872.0,24.857,?,?,?,?,3293.0,526.0,1
6.0,17.0,?,2.833,?,0.745,2.56,46.0,76.0,18.0,1
8.0,127.0,1016.0,15.875,0.314,0.825,1.98,319.0,?,161.0,1
8.0,83.0,664.0,10.375,?,0.955,?,195.0,634.0,?,1
9.0,64.0,576.0,?,?,?,2.29,?,400.0,87.0,1
1.0,?,32.0,32.0,?,1.0,?,15.0,32.0,?,0
?,?,25748.0,3.829,?,?,?,?,12923.0,703.0,1
2.0,6.0,12.0,?,0.667,1.0,4.0,?,12.0,2.0,0
9.0,?,?,?,?,0.601,1.26,361.0,?,?,1
10.0,90.0,?,9.0,0.501,?,3.92,451.0,?,115.0,1
8.0,7.0,?,0.875,0.482,0.946,2.45,27.0,53.0,11.0,1
7.0,11.0,77.0,1.571,0.221,0.922,1.21,?,71.0,14.0,1
11.0,134.0,1474.0,12.182,?,?,2.36,422.0,1145.0,179.0,1
