region-centroid-col,region-centroid-row,region-pixel-count,short-line-density-5,short-line-density-2,vedge-mean,vegde-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturation-mean,hue-mean,outcome
?,106.0,?,0.0,?,0.611111,?,1.27778,0.596296,2.18519,0.333333,4.88889,?,-5.55556,8.11111,-2.55556,4.88889,0.95172,-2.27407,0
107.0,21.0,9.0,?,?,?,0.5163979999999999,1.16667,?,126.778,?,141.889,?,?,45.3333,-12.3333,141.889,0.184022,-2.37037,0
132.0,134.0,?,0.0,0.0,?,?,1.5,?,6.18518,2.22222,11.4444,4.88889,-11.8889,15.7778,-3.88889,11.4444,0.833935,?,0
93.0,231.0,9.0,0.0,0.0,2.44444,?,2.66667,3.15556,?,8.77778,11.1111,17.0,-10.5556,-3.55556,14.1111,?,?,2.39131,0
?,20.0,?,?,?,1.05555,0.490655,?,0.7527729999999999,?,?,140.556,?,?,46.6667,-13.6667,140.556,0.188892,-2.34801,0
93.0,127.0,9.0,0.0,0.0,1.11111,0.834443,1.0,0.7888109999999999,3.81481,1.33333,?,?,-7.444439999999998,8.88889,-1.44444,?,0.827249,?,0
92.0,44.0,?,?,?,0.722223,0.5741350000000001,1.16667,1.04881,123.815,?,138.111,119.889,?,42.8889,-11.7778,138.111,0.178428,-2.36728,0
186.0,?,9.0,0.0,?,0.444444,?,2.33333,1.96638,6.25926,?,?,?,-7.111110000000001,15.2222,-8.11111,11.3333,0.6873020000000001,?,0
155.0,138.0,?,0.0,?,2.0,0.666661,?,0.41852,69.4815,63.8889,82.5556,?,-16.7778,39.2222,-22.4444,82.5556,0.248998,-1.99905,0
?,38.0,?,?,?,0.555556,?,?,?,?,?,131.444,108.556,?,53.8889,-14.7778,131.444,0.23576,-2.37,0
?,65.0,9.0,0.0,?,0.777777,0.785188,0.722221,0.329629,?,?,121.111,88.1111,-43.6667,?,-27.6667,121.111,?,?,0
210.0,153.0,9.0,0.0,0.0,0.0,?,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,0.0,0.0,?,0
?,211.0,9.0,0.0,?,1.66667,1.33333,?,2.31111,?,10.7778,12.8889,17.2222,-8.55556,-2.22222,?,17.2222,0.374806,2.44102,0
?,92.0,?,0.0,0.0,?,0.211111,0.77778,0.296297,90.3333,?,115.444,80.6667,?,?,?,115.444,0.35122,?,0
102.0,179.0,9.0,0.111111,0.0,1.83333,1.53116,?,1.88168,49.1852,44.8889,59.7778,42.8889,-12.8889,31.7778,-18.8889,?,?,?,0
