A2,A3,A4,A5,A6,A7,A10,A12,A13,A14,A1,A8,A9,A11,outcome
282.0,132.0,2.0,8.0,?,106.0,7.0,2.0,1.0,164.0,0.0,?,1.0,1.0,1
80.0,46.0,2.0,8.0,?,35.0,1.0,2.0,137.0,77.0,1.0,1.0,0.0,0.0,1
51.0,17.0,1.0,10.0,2.0,26.0,1.0,2.0,92.0,?,0.0,0.0,0.0,0.0,0
163.0,82.0,2.0,2.0,4.0,?,1.0,2.0,102.0,1.0,0.0,1.0,0.0,?,0
67.0,40.0,1.0,1.0,1.0,71.0,1.0,2.0,98.0,?,0.0,0.0,0.0,?,0
49.0,14.0,2.0,8.0,4.0,?,1.0,2.0,1.0,35.0,1.0,0.0,0.0,0.0,0
263.0,213.0,2.0,11.0,8.0,6.0,2.0,2.0,166.0,47.0,1.0,1.0,1.0,0.0,0
39.0,20.0,2.0,1.0,1.0,1.0,4.0,2.0,114.0,137.0,1.0,0.0,1.0,0.0,0
77.0,66.0,2.0,1.0,1.0,3.0,1.0,2.0,32.0,209.0,1.0,0.0,?,1.0,0
291.0,?,2.0,5.0,3.0,1.0,1.0,2.0,32.0,26.0,0.0,1.0,0.0,1.0,0
88.0,?,1.0,3.0,5.0,81.0,1.0,2.0,69.0,111.0,0.0,0.0,0.0,0.0,0
53.0,90.0,1.0,3.0,8.0,2.0,1.0,2.0,45.0,50.0,1.0,0.0,0.0,0.0,0
90.0,34.0,1.0,1.0,1.0,14.0,4.0,2.0,63.0,65.0,0.0,1.0,1.0,0.0,0
242.0,102.0,2.0,8.0,4.0,85.0,8.0,2.0,1.0,201.0,1.0,1.0,1.0,0.0,1
178.0,66.0,2.0,?,4.0,43.0,3.0,2.0,165.0,1.0,1.0,0.0,1.0,1.0,0
231.0,51.0,2.0,14.0,4.0,4.0,?,2.0,149.0,1.0,1.0,1.0,1.0,?,1
180.0,49.0,?,2.0,4.0,15.0,1.0,2.0,1.0,1.0,0.0,?,0.0,1.0,0
226.0,9.0,2.0,4.0,?,?,1.0,2.0,98.0,1.0,1.0,1.0,0.0,1.0,1
?,20.0,2.0,8.0,8.0,37.0,3.0,2.0,32.0,?,0.0,1.0,1.0,0.0,1
32.0,14.0,1.0,8.0,4.0,5.0,2.0,2.0,69.0,2.0,1.0,?,1.0,0.0,0
130.0,?,2.0,14.0,4.0,84.0,3.0,2.0,136.0,8.0,1.0,1.0,1.0,0.0,1
49.0,54.0,2.0,11.0,4.0,49.0,6.0,2.0,77.0,194.0,0.0,1.0,1.0,0.0,1
165.0,?,2.0,14.0,4.0,33.0,9.0,2.0,103.0,203.0,1.0,1.0,?,?,1
132.0,82.0,2.0,9.0,4.0,?,?,1.0,98.0,1.0,0.0,1.0,0.0,0.0,1
49.0,73.0,2.0,11.0,4.0,5.0,4.0,?,32.0,7.0,0.0,1.0,1.0,0.0,1
48.0,64.0,?,8.0,4.0,47.0,12.0,2.0,69.0,200.0,1.0,1.0,1.0,1.0,1
?,26.0,1.0,12.0,7.0,20.0,1.0,2.0,43.0,3.0,1.0,0.0,0.0,1.0,0
65.0,63.0,2.0,4.0,4.0,20.0,1.0,2.0,63.0,1.0,1.0,0.0,0.0,0.0,0
96.0,67.0,?,6.0,4.0,7.0,1.0,?,120.0,1.0,0.0,1.0,0.0,1.0,1
174.0,59.0,1.0,4.0,1.0,1.0,1.0,2.0,38.0,1.0,1.0,0.0,?,0.0,0
134.0,85.0,2.0,8.0,4.0,7.0,2.0,2.0,11.0,67.0,?,0.0,1.0,1.0,0
196.0,66.0,2.0,13.0,5.0,14.0,1.0,2.0,112.0,?,1.0,0.0,0.0,0.0,0
130.0,30.0,2.0,7.0,4.0,25.0,4.0,2.0,129.0,1.0,1.0,?,1.0,1.0,1
268.0,123.0,1.0,8.0,4.0,40.0,1.0,2.0,53.0,3.0,1.0,0.0,0.0,0.0,0
289.0,119.0,2.0,11.0,8.0,96.0,1.0,2.0,114.0,1.0,1.0,1.0,0.0,1.0,1
223.0,93.0,2.0,8.0,4.0,4.0,1.0,2.0,53.0,1.0,0.0,?,0.0,0.0,0
?,?,?,1.0,1.0,125.0,12.0,2.0,?,94.0,1.0,1.0,1.0,?,1
215.0,87.0,2.0,8.0,5.0,85.0,1.0,1.0,98.0,1.0,1.0,1.0,0.0,1.0,0
65.0,168.0,2.0,4.0,4.0,39.0,1.0,2.0,32.0,?,1.0,0.0,0.0,1.0,0
97.0,72.0,2.0,14.0,8.0,24.0,1.0,2.0,117.0,1.0,0.0,1.0,0.0,0.0,1
144.0,22.0,2.0,9.0,4.0,7.0,1.0,2.0,102.0,1.0,?,0.0,0.0,?,0
293.0,129.0,2.0,?,5.0,105.0,16.0,?,1.0,213.0,1.0,1.0,1.0,1.0,1
54.0,10.0,1.0,8.0,8.0,?,1.0,2.0,98.0,78.0,1.0,0.0,0.0,0.0,0
?,26.0,1.0,8.0,4.0,?,?,?,86.0,1.0,1.0,0.0,0.0,?,0
32.0,1.0,?,11.0,?,18.0,1.0,2.0,53.0,2.0,1.0,0.0,0.0,0.0,0
297.0,29.0,2.0,6.0,4.0,14.0,1.0,2.0,86.0,56.0,0.0,0.0,0.0,1.0,0
190.0,47.0,2.0,13.0,4.0,38.0,2.0,2.0,?,238.0,1.0,?,1.0,1.0,1
49.0,107.0,2.0,?,4.0,10.0,2.0,2.0,53.0,1.0,?,1.0,?,0.0,0
128.0,196.0,1.0,?,9.0,1.0,1.0,2.0,?,?,0.0,1.0,0.0,0.0,1
348.0,?,1.0,1.0,1.0,2.0,?,?,1.0,102.0,1.0,0.0,1.0,0.0,0
42.0,165.0,2.0,8.0,4.0,47.0,1.0,?,44.0,1.0,1.0,0.0,0.0,1.0,0
21.0,8.0,2.0,?,4.0,2.0,1.0,2.0,98.0,135.0,?,0.0,0.0,0.0,0
275.0,16.0,?,13.0,8.0,11.0,12.0,2.0,141.0,7.0,0.0,1.0,1.0,1.0,1
131.0,102.0,2.0,?,4.0,117.0,1.0,2.0,?,1.0,1.0,1.0,0.0,1.0,1
6.0,6.0,2.0,6.0,4.0,26.0,3.0,2.0,107.0,2.0,0.0,0.0,1.0,1.0,0
?,46.0,2.0,2.0,4.0,74.0,1.0,2.0,1.0,101.0,1.0,0.0,0.0,?,0
?,103.0,2.0,11.0,8.0,120.0,?,2.0,27.0,1.0,1.0,1.0,?,1.0,1
248.0,102.0,2.0,?,8.0,85.0,7.0,2.0,148.0,1.0,1.0,1.0,1.0,1.0,1
136.0,85.0,2.0,8.0,4.0,28.0,2.0,2.0,121.0,1.0,0.0,1.0,?,1.0,1
202.0,175.0,2.0,11.0,8.0,124.0,9.0,2.0,1.0,221.0,0.0,1.0,1.0,0.0,1
218.0,37.0,1.0,2.0,4.0,37.0,1.0,2.0,138.0,1.0,1.0,?,0.0,1.0,1
28.0,55.0,2.0,3.0,4.0,37.0,3.0,2.0,38.0,94.0,1.0,1.0,1.0,0.0,1
10.0,70.0,2.0,6.0,4.0,18.0,2.0,2.0,24.0,22.0,1.0,0.0,1.0,?,0
340.0,192.0,2.0,1.0,1.0,1.0,12.0,2.0,1.0,171.0,?,1.0,1.0,1.0,1
200.0,95.0,2.0,14.0,8.0,95.0,1.0,1.0,164.0,1.0,1.0,0.0,?,1.0,1
133.0,?,1.0,14.0,8.0,?,2.0,2.0,20.0,1.0,0.0,1.0,1.0,0.0,1
116.0,18.0,2.0,?,1.0,1.0,1.0,2.0,32.0,1.0,1.0,0.0,0.0,0.0,0
18.0,?,2.0,9.0,?,5.0,2.0,2.0,38.0,2.0,1.0,0.0,1.0,0.0,0
44.0,110.0,2.0,9.0,4.0,42.0,1.0,1.0,38.0,1.0,1.0,1.0,0.0,0.0,1
188.0,?,2.0,6.0,4.0,26.0,1.0,2.0,86.0,1.0,1.0,1.0,0.0,1.0,0
69.0,111.0,2.0,?,4.0,60.0,8.0,2.0,41.0,202.0,0.0,1.0,1.0,0.0,1
9.0,29.0,2.0,7.0,4.0,3.0,1.0,1.0,69.0,1.0,1.0,1.0,0.0,0.0,0
155.0,175.0,?,8.0,?,47.0,2.0,2.0,77.0,20.0,0.0,1.0,?,0.0,1
185.0,?,2.0,9.0,4.0,29.0,1.0,2.0,38.0,1.0,1.0,0.0,0.0,0.0,0
52.0,73.0,?,?,4.0,28.0,9.0,2.0,53.0,2.0,1.0,1.0,1.0,1.0,1
34.0,1.0,?,1.0,1.0,1.0,5.0,?,13.0,2.0,1.0,?,1.0,0.0,0
173.0,66.0,2.0,8.0,4.0,31.0,1.0,2.0,98.0,1.0,?,0.0,0.0,1.0,0
121.0,?,2.0,1.0,1.0,1.0,1.0,2.0,111.0,2.0,0.0,0.0,?,0.0,0
163.0,21.0,2.0,4.0,4.0,7.0,?,2.0,124.0,181.0,1.0,0.0,0.0,0.0,0
283.0,91.0,2.0,14.0,5.0,3.0,?,2.0,156.0,1.0,1.0,0.0,0.0,?,0
43.0,10.0,2.0,11.0,4.0,4.0,1.0,2.0,69.0,?,1.0,0.0,0.0,?,0
303.0,119.0,2.0,3.0,5.0,67.0,1.0,2.0,21.0,1.0,0.0,0.0,0.0,1.0,0
207.0,109.0,?,3.0,5.0,85.0,?,2.0,73.0,129.0,1.0,0.0,0.0,0.0,0
26.0,39.0,1.0,10.0,2.0,1.0,1.0,2.0,32.0,?,1.0,?,0.0,0.0,0
36.0,163.0,2.0,8.0,5.0,16.0,3.0,2.0,69.0,8.0,1.0,0.0,?,1.0,0
