CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,CHAS,outcome
0.09164,0.0,10.81,0.413,6.065,7.8,52.873000000000005,4.0,305.0,19.2,?,5.52,0.0,0
?,?,6.96,0.46399999999999997,6.537999999999999,58.7,?,3.0,223.0,18.6,394.96,7.73,0.0,0
?,0.0,25.65,0.581,6.004,84.1,?,2.0,?,19.1,377.67,14.27,0.0,1
347.42800000000005,0.0,?,0.718,8.78,82.9,19.047,24.0,666.0,20.2,?,5.29,1.0,1
383.684,0.0,18.1,0.77,6.251,91.1,?,24.0,666.0,20.2,350.65,14.19,0.0,1
0.02009,95.0,2.68,0.4161,8.033999999999999,31.9,5.118,?,?,14.7,?,2.88,0.0,0
?,0.0,18.1,?,6.459,?,19.879,24.0,666.0,?,43.06,23.98,0.0,1
0.13058,?,?,0.547,5.872000000000001,?,24.775,6.0,432.0,17.8,?,15.37,0.0,1
0.40202,0.0,9.9,0.544,6.382000000000001,67.2,35.325,4.0,304.0,18.4,395.21,10.36,0.0,0
0.032369999999999996,0.0,2.18,?,6.997999999999999,45.8,60.622,?,222.0,18.7,394.63,2.94,?,0
0.12757000000000002,30.0,4.93,0.428,?,?,70.355,6.0,?,16.6,?,?,?,0
?,0.0,19.58,0.871,5.627999999999999,100.0,15.165999999999999,5.0,403.0,14.7,169.27,16.65,0.0,1
119.51100000000001,0.0,18.1,0.659,5.608,100.0,12.852,24.0,?,20.2,332.09,12.13,?,0
0.01965,80.0,1.76,0.385,6.23,31.5,?,1.0,241.0,18.2,341.6,12.93,0.0,1
918.702,0.0,18.1,0.7,5.5360000000000005,?,?,24.0,666.0,20.2,?,?,0.0,1
0.03705,20.0,3.33,0.4429,6.968,37.2,52.446999999999996,5.0,216.0,14.9,392.23,?,?,0
0.08265,?,13.92,?,?,18.4,55.027,4.0,289.0,16.0,396.9,8.58,0.0,0
100.62299999999999,?,18.1,0.584,?,94.3,20.881999999999998,?,666.0,20.2,81.33,?,0.0,1
0.11329000000000002,30.0,4.93,0.428,?,54.3,63.361000000000004,6.0,300.0,16.6,391.25,?,0.0,1
?,0.0,?,0.515,6.316,?,64.584,5.0,224.0,20.2,389.71,?,0.0,1
0.05646,0.0,12.83,?,6.232,53.7,?,?,398.0,18.7,386.4,12.34,0.0,1
0.06911,45.0,3.44,?,6.739,30.8,?,?,?,15.2,389.71,?,0.0,0
0.21977,0.0,6.91,?,?,?,60.876999999999995,?,?,?,396.9,16.2,0.0,1
