height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,outcome
8.0,27.0,?,3.375,0.218,?,?,47.0,184.0,?,1
?,1.0,?,?,?,1.0,12.0,?,12.0,1.0,0
5.0,13.0,65.0,2.6,?,1.0,?,26.0,65.0,?,1
?,421.0,5894.0,30.071,?,0.581,?,?,?,?,1
10.0,?,1220.0,?,?,0.54,?,333.0,659.0,?,1
9.0,?,?,?,0.243,?,1.58,238.0,?,?,1
9.0,?,?,12.0,?,?,?,436.0,844.0,171.0,1
?,58.0,?,8.286,0.212,0.8420000000000001,2.26,?,342.0,38.0,1
?,?,?,?,0.275,?,?,220.0,348.0,?,1
?,?,56.0,?,0.3929999999999999,?,?,?,?,11.0,1
?,186.0,?,?,?,0.812,2.53,?,1208.0,234.0,1
?,2.0,?,?,?,0.7140000000000001,10.0,?,10.0,?,1
?,46.0,?,?,0.155,0.5870000000000001,?,50.0,?,?,1
?,?,?,3.625,?,?,1.93,?,181.0,41.0,1
?,186.0,?,7.44,?,0.953,7.16,2221.0,4433.0,310.0,1
5.0,?,?,?,0.35,?,1.33,?,?,?,1
?,?,1620.0,20.0,?,?,?,555.0,?,225.0,1
?,?,78.0,2.167,0.295,0.897,1.64,?,70.0,?,1
12.0,?,1248.0,?,0.335,0.758,2.46,418.0,946.0,170.0,1
?,?,?,7.5,0.456,0.967,?,?,261.0,?,1
1.0,?,27.0,?,?,?,1.4,?,?,5.0,0
?,31.0,248.0,3.875,?,0.871,1.45,?,216.0,?,1
8.0,10.0,?,?,?,0.813,1.64,23.0,65.0,?,1
?,31.0,?,4.428999999999999,0.295,0.857,1.64,?,186.0,?,1
14.0,?,?,?,0.244,0.489,2.95,?,260.0,?,1
?,?,?,10.929,0.38,?,4.44,?,1378.0,183.0,1
?,75.0,375.0,?,0.259,?,?,?,325.0,?,1
?,3.0,?,?,?,?,?,?,8.0,1.0,1
?,427.0,4697.0,?,?,?,189.79,?,?,?,0
7.0,38.0,?,?,0.308,0.789,?,?,?,?,1
8.0,?,?,?,?,?,?,?,419.0,?,1
?,43.0,?,?,?,0.948,3.31,?,?,?,1
?,538.0,?,179.33,?,0.424,22.11,?,?,27.0,0
?,36.0,?,?,0.349,?,?,113.0,229.0,?,1
2.0,101.0,?,?,0.54,0.743,10.9,109.0,?,10.0,0
?,?,?,3.375,?,0.685,?,51.0,148.0,?,1
?,112.0,?,?,?,0.7859999999999999,1.27,152.0,704.0,?,1
?,12.0,120.0,?,?,0.958,1.82,?,115.0,22.0,1
?,?,?,14.286,?,?,?,?,691.0,118.0,1
?,71.0,852.0,?,0.631,?,6.64,538.0,?,81.0,1
8.0,?,?,?,?,?,?,58.0,?,18.0,1
12.0,118.0,1416.0,?,?,0.778,?,495.0,?,166.0,1
7.0,?,462.0,9.429,?,0.903,1.49,79.0,?,?,1
7.0,13.0,91.0,1.857,0.242,0.912,?,?,83.0,15.0,1
5.0,?,15.0,?,?,0.933,?,?,14.0,?,1
34.0,27.0,918.0,?,0.2189999999999999,0.5539999999999999,?,?,?,65.0,0
9.0,17.0,?,1.889,0.235,?,1.44,?,99.0,?,1
11.0,8.0,?,0.727,?,?,?,39.0,?,1.0,1
?,16.0,?,1.778,0.208,?,?,?,103.0,20.0,1
63.0,?,4158.0,?,?,0.591,?,?,2458.0,46.0,0
?,51.0,357.0,?,?,?,?,?,?,75.0,1
21.0,?,1428.0,?,?,?,5.69,74.0,156.0,?,0
8.0,?,?,?,0.265,?,1.71,?,77.0,?,1
9.0,107.0,963.0,?,?,0.65,2.59,?,?,?,1
11.0,103.0,1133.0,9.364,0.156,?,1.44,177.0,653.0,?,1
7.0,35.0,?,5.0,0.31,1.0,1.55,?,?,?,1
?,82.0,?,2.929,0.271,0.39,8.9,?,895.0,70.0,1
?,?,105.0,?,0.114,0.295,2.4,12.0,?,5.0,0
6.0,?,60.0,?,0.4,?,?,?,58.0,?,1
9.0,?,?,?,?,0.579,?,320.0,782.0,183.0,1
?,24.0,?,2.667,?,0.907,2.2,77.0,?,35.0,1
1.0,35.0,35.0,35.0,?,1.0,?,?,?,3.0,0
?,288.0,?,?,0.248,?,?,?,?,?,1
10.0,?,?,?,?,0.815,?,?,?,?,1
8.0,71.0,?,?,?,?,2.06,231.0,?,112.0,1
10.0,143.0,?,?,0.355,0.775,?,508.0,?,?,1
?,?,?,?,0.367,0.8440000000000001,2.24,132.0,304.0,?,1
7.0,32.0,?,4.571000000000001,0.2319999999999999,0.804,1.3,?,?,40.0,1
?,371.0,?,?,?,0.59,4.85,1975.0,3066.0,407.0,1
?,?,602.0,?,0.281,0.958,?,169.0,?,?,1
9.0,166.0,?,?,?,0.75,?,576.0,?,?,1
?,9.0,?,0.9,0.222,1.0,1.25,20.0,90.0,16.0,1
9.0,?,999.0,?,0.218,?,?,218.0,?,128.0,1
?,55.0,?,?,?,?,?,?,?,?,1
?,136.0,?,9.067,?,?,2.81,489.0,1526.0,174.0,1
?,11.0,121.0,1.0,0.3879999999999999,0.818,?,?,?,21.0,1
11.0,60.0,?,5.455,?,0.608,?,?,?,105.0,1
4.0,11.0,44.0,2.75,?,?,1.36,?,?,14.0,1
13.0,?,?,28.846,0.154,?,?,751.0,2531.0,521.0,1
?,?,49.0,?,?,0.939,1.89,17.0,46.0,9.0,1
?,?,?,9.0,0.481,?,1.77,39.0,75.0,?,1
?,?,?,?,0.667,?,4.0,?,12.0,?,0
?,23.0,207.0,?,0.213,0.507,1.57,44.0,?,?,1
?,110.0,990.0,?,0.311,0.627,?,308.0,621.0,?,1
9.0,157.0,1413.0,17.444000000000003,?,?,?,?,763.0,?,1
?,172.0,1548.0,?,?,?,1.28,258.0,1050.0,202.0,1
9.0,?,729.0,?,0.337,0.918,1.97,?,669.0,125.0,1
?,298.0,2384.0,37.25,0.242,0.7909999999999999,1.5,?,?,383.0,1
?,227.0,3178.0,?,0.237,0.8390000000000001,3.34,754.0,?,226.0,1
7.0,?,112.0,2.286,0.259,1.0,?,29.0,112.0,14.0,1
?,40.0,?,5.0,0.481,0.988,2.61,154.0,?,59.0,1
?,21.0,210.0,?,0.362,?,?,?,172.0,36.0,1
8.0,152.0,1216.0,19.0,0.27,0.623,2.0,?,757.0,164.0,1
10.0,9.0,?,0.9,?,0.878,2.5,?,?,12.0,1
?,?,1197.0,14.778,0.236,0.718,1.89,283.0,?,150.0,1
?,141.0,?,20.143,?,0.757,?,158.0,?,?,1
?,?,?,24.857,?,0.6759999999999999,?,822.0,3293.0,?,1
?,?,?,2.833,0.451,0.745,2.56,46.0,?,?,1
?,127.0,?,15.875,0.314,0.825,1.98,?,838.0,161.0,1
?,?,664.0,?,?,?,2.17,?,634.0,?,1
9.0,64.0,?,7.111000000000001,?,?,?,199.0,?,?,1
1.0,32.0,?,?,?,1.0,?,15.0,32.0,?,0
?,?,25748.0,3.829,?,?,10.84,7618.0,?,?,1
?,6.0,?,?,0.667,?,?,8.0,12.0,2.0,0
?,?,2556.0,31.556,0.141,?,?,?,1537.0,286.0,1
?,90.0,?,9.0,0.501,?,?,?,781.0,115.0,1
?,?,56.0,0.875,0.482,?,2.45,?,?,?,1
7.0,11.0,?,1.571,0.221,?,1.21,17.0,71.0,?,1
?,134.0,1474.0,?,0.286,?,2.36,?,?,179.0,1
9.0,73.0,657.0,8.111,?,0.434,1.44,?,?,79.0,1
6.0,47.0,282.0,7.832999999999999,0.2019999999999999,?,57.0,?,57.0,1.0,0
?,82.0,656.0,?,?,0.764,?,258.0,?,107.0,1
5.0,?,?,?,?,?,1.43,132.0,?,92.0,1
?,?,?,?,0.944,?,?,17.0,18.0,?,0
11.0,205.0,?,?,0.371,?,3.01,837.0,1616.0,278.0,1
?,347.0,3123.0,38.556,0.111,0.433,?,347.0,1351.0,?,1
?,125.0,1750.0,?,?,?,?,505.0,1285.0,?,1
?,?,77.0,0.636,?,?,?,46.0,77.0,8.0,1
?,17.0,119.0,?,0.319,?,1.41,38.0,111.0,?,1
1.0,42.0,?,42.0,0.381,1.0,?,16.0,?,?,1
