region-centroid-col,region-centroid-row,region-pixel-count,short-line-density-5,short-line-density-2,vedge-mean,vegde-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturation-mean,hue-mean,outcome
?,106.0,9.0,?,0.0,0.611111,?,1.27778,0.596296,?,?,4.88889,1.33333,?,?,-2.55556,?,0.9517200000000001,-2.27407,0
?,21.0,9.0,?,?,0.666662,0.5163979999999999,1.16667,?,?,115.77799999999999,141.889,?,?,?,-12.3333,?,?,-2.37037,0
132.0,?,?,0.0,0.0,?,?,1.5,1.54444,?,2.22222,11.4444,?,-11.8889,15.7778,?,11.4444,?,-2.3866099999999997,0
93.0,231.0,?,0.0,?,2.44444,?,2.66667,3.15556,12.2963,?,?,17.0,-10.5556,?,?,17.0,0.485216,?,0
?,20.0,?,0.0,0.0,?,0.490655,0.833333,0.7527729999999999,?,114.0,?,120.444,?,46.6667,-13.6667,140.556,0.188892,?,0
93.0,127.0,?,?,?,1.11111,?,1.0,?,3.81481,?,6.77778,?,?,?,?,6.77778,0.827249,?,0
92.0,?,9.0,?,0.0,?,?,1.16667,1.04881,?,113.444,138.111,119.889,?,42.8889,-11.7778,?,?,-2.36728,0
186.0,?,9.0,0.0,0.0,0.44444399999999995,0.272165,?,1.96638,?,3.88889,?,3.55556,?,?,-8.11111,11.3333,?,?,0
?,?,?,?,?,?,?,?,0.41852,?,63.8889,?,62.0,?,39.2222,-22.4444,82.5556,?,-1.99905,0
?,?,?,0.11111099999999999,0.0,0.555556,0.40368699999999996,?,?,?,?,131.444,?,?,?,?,?,?,-2.37,0
?,65.0,9.0,0.0,?,0.777777,0.785188,0.722221,0.329629,?,?,?,?,?,71.3333,-27.6667,121.111,0.316474,?,0
?,153.0,?,0.0,0.0,0.0,?,0.0,0.0,0.0,?,0.0,?,0.0,?,?,?,?,0.0,0
?,?,9.0,0.0,0.0,?,1.33333,?,?,?,?,12.8889,17.2222,-8.55556,-2.22222,10.7778,?,0.374806,?,0
?,92.0,9.0,0.0,?,0.833335,0.21111100000000002,?,0.296297,90.3333,74.8889,115.444,80.6667,-46.3333,75.3333,?,?,0.35122,-2.2428,0
102.0,179.0,9.0,0.11111099999999999,?,1.83333,1.53116,2.44444,1.88168,49.1852,?,59.7778,42.8889,-12.8889,?,?,59.7778,0.28268699999999997,?,0
73.0,?,?,0.0,0.11111099999999999,0.722223,0.64693,?,?,58.7037,52.8889,?,51.0,?,?,-23.1111,72.2222,0.294187,?,0
?,91.0,9.0,?,0.11111099999999999,18.9444,?,?,889.363,42.8148,35.8889,?,?,?,29.5556,?,52.6667,0.39882399999999996,-2.34606,0
?,111.0,?,0.0,0.0,0.611111,?,?,0.24074099999999998,1.33333,?,4.0,0.0,-4.0,8.0,-4.0,?,?,?,0
?,113.0,9.0,0.0,?,?,?,0.777778,?,?,?,?,3.0,?,?,-7.77778,7.111110000000001,0.579365,-0.942558,1
24.0,?,9.0,?,0.0,1.16667,?,?,?,?,38.0,50.3333,37.7778,?,24.8889,-12.7778,?,?,-2.14372,0
?,60.0,?,0.0,?,2.27778,2.32963,?,2.87407,?,?,?,20.3333,?,?,?,?,0.4223,?,1
?,77.0,?,0.0,0.0,0.8888889999999999,?,?,1.58518,?,?,71.3333,?,-16.0,35.3333,?,?,0.255329,?,0
?,192.0,9.0,?,?,1.22222,?,2.88889,?,?,8.66667,?,13.7778,?,?,11.4444,?,?,?,0
?,124.0,9.0,0.0,?,0.5,?,?,?,?,?,7.33333,?,4.22222,?,?,7.66667,0.563492,-1.02473,1
?,?,?,?,0.0,?,1.3066799999999998,6.16667,?,17.0,13.0,24.5556,?,-12.0,?,-10.6667,24.5556,0.47748900000000005,-2.12975,0
?,137.0,?,?,0.0,?,0.544331,?,?,?,?,1.77778,0.11111099999999999,-1.22222,3.11111,?,?,0.75,-2.0076099999999997,0
?,44.0,9.0,0.0,0.0,2.16667,?,2.38889,1.5296299999999998,18.7407,17.3333,?,?,?,?,?,25.2222,?,?,1
?,?,9.0,?,?,1.77778,?,3.44444,1.08866,?,?,?,37.3333,-2.88889,?,?,45.3333,?,?,0
?,80.0,?,?,0.0,?,0.7111109999999999,?,?,?,?,?,36.1111,?,?,?,47.6667,0.24473000000000003,-1.9427,0
235.0,196.0,?,0.0,0.0,1.66667,?,2.22222,1.1482700000000001,?,?,58.5556,41.4444,?,?,-17.4444,?,?,-2.07462,0
?,?,9.0,0.0,0.0,1.11111,?,?,?,95.2963,?,?,?,?,?,?,?,?,-2.2271099999999997,0
11.0,50.0,9.0,?,0.0,?,1.00369,?,?,?,?,?,?,?,?,?,130.333,0.2797,?,0
80.0,124.0,9.0,?,0.0,0.555556,?,?,0.02963,?,?,6.0,2.66667,4.66667,2.66667,?,6.77778,?,?,1
?,138.0,?,0.0,0.0,0.8888889999999999,0.562963,?,?,?,7.33333,?,?,?,?,?,7.33333,?,-0.862108,1
189.0,?,9.0,0.0,?,?,?,0.333333,?,?,?,7.888889999999999,?,?,?,?,8.44444,0.5385800000000001,-0.965144,1
28.0,?,?,0.0,0.0,0.22222199999999998,0.074074,?,?,?,?,6.0,?,?,?,?,?,?,?,1
155.0,?,?,?,0.0,?,?,0.666667,?,5.0,6.555560000000001,?,?,4.66667,1.66667,?,?,?,?,1
184.0,197.0,?,0.0,0.0,3.05556,?,?,?,?,8.88889,9.55556,17.4444,?,?,16.4444,17.4444,0.515187,2.16426,0
?,30.0,?,0.0,0.0,0.555557,0.27216399999999996,1.22222,0.720082,?,100.77799999999999,130.111,?,?,?,?,?,?,-2.38531,0
213.0,?,?,0.0,0.0,?,?,?,0.327731,?,13.2222,?,?,?,?,-10.7778,?,?,?,0
?,197.0,9.0,?,?,4.22222,?,?,?,?,?,62.2222,?,-17.0,35.6667,?,62.2222,?,-2.0712200000000003,0
138.0,?,9.0,0.0,0.0,3.05555,2.97707,?,2.15424,?,50.1111,71.1111,?,?,42.1111,-21.2222,71.1111,0.298025,?,0
?,117.0,9.0,?,?,0.44444399999999995,?,1.61111,2.15185,19.8889,20.6667,?,14.8889,?,12.6667,-15.0,24.1111,?,?,1
127.0,57.0,?,0.11111099999999999,0.0,0.9444440000000001,?,?,?,124.259,113.0,140.333,?,?,?,-14.4444,?,0.19475399999999998,?,0
?,?,?,0.0,?,?,?,0.666667,0.311111,?,6.888889999999999,?,3.11111,?,?,-7.33333,?,?,?,1
?,128.0,9.0,?,?,?,?,2.44444,1.68215,16.4815,10.1111,25.8889,13.4444,-19.1111,?,?,25.8889,?,-2.3163,0
?,182.0,?,?,?,1.83333,?,3.61111,?,34.9259,?,?,30.4444,-10.4444,?,?,?,0.285756,?,0
99.0,156.0,?,0.0,?,2.05556,?,?,?,?,?,29.2222,?,-12.6667,?,?,?,0.431321,?,0
100.0,?,?,0.11111099999999999,0.0,?,?,0.722222,?,2.74074,?,?,1.66667,?,10.4444,?,6.22222,?,?,0
77.0,36.0,?,0.0,?,?,?,?,0.64693,?,?,130.333,107.22200000000001,-41.1111,?,?,130.333,0.24634,-2.38738,0
115.0,81.0,9.0,?,0.0,?,0.646932,?,0.389683,105.926,?,124.889,?,?,56.8889,?,124.889,0.26421999999999995,-2.38226,0
?,133.0,?,?,?,?,?,0.444445,0.02963,9.85185,6.22222,16.6667,?,?,20.4444,-9.55556,?,0.627269,-2.1387400000000003,0
?,40.0,?,0.0,0.0,0.611111,?,0.722223,0.772203,110.704,96.2222,?,106.889,-43.4444,?,?,?,?,?,0
?,?,9.0,?,?,0.388889,?,?,0.64693,?,?,?,29.5556,-21.1111,5.22222,15.8889,29.5556,?,?,0
?,?,?,?,0.0,?,7.88519,?,12.4333,5.2963,2.44444,?,?,-8.55556,?,-4.22222,9.55556,0.804724,-2.30037,0
112.0,?,9.0,?,0.0,?,?,?,?,?,58.2222,?,?,?,?,-22.2222,?,0.27165900000000004,?,0
181.0,?,?,0.0,0.0,0.22222399999999998,0.02963,1.44445,?,132.778,123.22200000000001,?,129.778,?,?,?,145.333,0.152134,-2.40548,0
?,114.0,?,0.11111099999999999,?,0.9444440000000001,1.16269,1.16667,?,?,24.4444,40.7778,?,-18.1111,30.8889,?,40.7778,0.400536,-2.20716,0
