N,TREE,BR,TL,IN,INTERNODE_1,INTERNODE_2,INTERNODE_3,INTERNODE_4,INTERNODE_5,INTERNODE_6,INTERNODE_7,INTERNODE_8,INTERNODE_9,INTERNODE_10,INTERNODE_11,INTERNODE_12,INTERNODE_13,INTERNODE_14,INTERNODE_15,INTERNODE_16,INTERNODE_17,INTERNODE_18,INTERNODE_19,INTERNODE_20,INTERNODE_21,INTERNODE_22,INTERNODE_23,INTERNODE_24,INTERNODE_25,INTERNODE_26,INTERNODE_27,INTERNODE_28,INTERNODE_29,binaryClass
2361,G6,D,105.0,22,1.5,3.6,6.1,7.5,6.1,8.0,7.9,6.2,5.0,6.2,5.8,5.1,6.0,6.3,6.6,6.5,4.6,3.5,1.6,0.8,0.3,0.2,?,?,?,?,?,?,?,0
795,J15,D,12.0,9,0.6,2.1,2.0,1.6,1.5,2.0,1.3,0.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
712,D10,G,1.0,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1296,D18,D,2.0,3,0.6,0.7,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1257,J1,F,1.0,5,0.2,0.2,0.2,0.2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
903,Q17,H,2.0,4,0.2,0.6,0.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
74,O20,A,1.0,3,0.2,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
650,J10,H,43.0,15,0.5,1.4,6.2,9.6,8.1,5.0,2.1,1.1,1.3,2.0,1.9,1.5,1.2,0.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
2075,G9,I,70.5,18,0.2,1.0,1.4,2.2,3.0,4.1,4.3,5.8,6.5,7.3,7.3,7.3,7.2,5.8,4.1,2.2,0.6,0.2,?,?,?,?,?,?,?,?,?,?,?,0
2492,Q19,D,1.0,4,0.3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
2383,O3O,C,1.0,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
2235,G27,D,1.0,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
2349,G6,B,2.0,5,0.2,0.3,0.2,0.3,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
344,Q23,F,2.0,4,0.3,1.0,0.9,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
200,Q5,A,4.0,3,0.7,2.1,1.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
417,J25,C,56.5,11,1.5,6.3,9.7,7.6,6.5,5.9,6.0,4.3,4.5,3.3,0.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
1982,D22,G,1.0,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
