FICE,State,Type,Average_salary-full_professors,Average_salary-associate_professors,Average_salary-assistant_professors,Average_salary-all_ranks,Average_compensation-full_professors,Average_compensation-associate_professors,Average_compensation-assistant_professors,Average_compensation-all_ranks,Number_of_full_professors,Number_of_associate_professors,Number_of_assistant_professors,Number_of_instructors,binaryClass
1840,IN,I,798.0,562.0,470.0,637,985.0,701.0,573.0,787,274,195,164,11,0
3121,OH,IIB,485.0,379.0,334.0,379,593.0,470.0,410.0,466,6,7,14,0,1
1706,IL,IIB,644.0,475.0,402.0,495,843.0,650.0,543.0,662,26,22,24,5,1
2895,NY,IIB,674.0,517.0,408.0,523,879.0,669.0,512.0,674,70,60,66,9,1
2829,NY,IIB,627.0,473.0,366.0,488,799.0,613.0,472.0,627,50,56,40,7,1
2268,MI,IIB,568.0,479.0,387.0,467,726.0,619.0,508.0,604,91,105,118,7,0
3023,OH,IIA,563.0,405.0,334.0,424,704.0,540.0,429.0,543,54,36,57,11,1
1943,KS,IIB,336.0,301.0,261.0,282,390.0,358.0,313.0,335,10,11,15,5,1
2260,MI,IIA,546.0,470.0,409.0,467,713.0,631.0,566.0,628,143,160,151,10,0
3884,WI,IIB,491.0,380.0,320.0,409,619.0,479.0,401.0,515,28,23,17,1,1
1707,IL,IIA,467.0,392.0,330.0,357,561.0,481.0,407.0,437,37,20,29,52,1
3808,WV,IIB,397.0,348.0,286.0,340,501.0,485.0,358.0,433,21,6,23,0,1
2586,NH,IIA,449.0,363.0,331.0,365,541.0,419.0,392.0,429,12,29,18,7,1
2439,MS,IIB,300.0,267.0,244.0,262,370.0,327.0,289.0,318,17,22,18,9,1
2050,ME,IIA,450.0,380.0,323.0,354,545.0,468.0,396.0,434,11,22,39,4,1
2488,MO,IIB,489.0,406.0,349.0,389,592.0,496.0,430.0,476,42,50,67,28,1
1889,IA,IIB,431.0,374.0,325.0,362,541.0,471.0,401.0,450,29,15,44,8,1
1086,AR,IIB,406.0,366.0,332.0,335,505.0,457.0,415.0,419,40,33,71,46,1
1899,IA,IIB,?,314.0,289.0,292,?,388.0,355.0,359,5,13,22,14,1
1694,IL,IIA,446.0,369.0,320.0,345,509.0,425.0,371.0,399,120,65,77,14,0
1666,IL,IIB,399.0,351.0,295.0,351,487.0,435.0,374.0,435,30,23,24,1,1
3110,OH,IIB,459.0,372.0,329.0,363,600.0,467.0,399.0,457,22,42,56,10,1
3728,VA,I,595.0,451.0,370.0,446,731.0,564.0,468.0,557,165,228,156,52,0
2266,MI,IIB,353.0,287.0,254.0,283,474.0,376.0,326.0,371,9,19,12,4,1
3764,VA,IIA,453.0,416.0,375.0,398,554.0,510.0,462.0,489,55,49,59,28,1
