timestamp,cylinder_number,customer,job_number,grain_screened,ink_color,proof_on_ctd_ink,blade_mfg,cylinder_division,paper_type,ink_type,direct_steam,solvent_type,type_on_cylinder,press_type,press,unit_number,cylinder_size,paper_mill_location,plating_tank,proof_cut,viscosity,caliper,ink_temperature,humifity,roughness,blade_pressure,varnish_pct,press_speed,ink_pct,solvent_pct,ESA_Voltage,ESA_Amperage,wax,hardener,roller_durometer,current_density,anode_space_ratio,chrome_content,binaryClass
19901014,x771,toysrus,34756,no,key,no,benton,gallatin,coated,coated,no,line,yes,motter94,824,9,tabloid,canadian,1911.0,30.0,54.0,?,14.9,72.0,1.25,30.0,3.6,2100.0,60.2,36.1,1.5,0.0,2.5,1.2,30.0,40.0,114.29,100.0,1
19910211,m254,abbypress,27490,no,key,yes,benton,gallatin,coated,coated,no,line,yes,motter70,813,1,catalog,northus,1911.0,30.0,42.0,0.2,15.4,64.0,0.875,?,0.0,1425.0,61.7,38.3,0.0,0.0,1.0,1.3,34.0,40.0,107.4,100.0,1
19910118,x292,ames,37157,no,key,yes,benton,gallatin,coated,coated,no,line,no,motter94,828,2,tabloid,canadian,1910.0,30.0,45.0,0.233,17.0,70.0,0.75,35.0,0.0,2200.0,58.8,41.2,0.0,0.0,2.5,1.0,33.0,40.0,106.45,100.0,0
19900824,f192,competitivedge,34399,yes,key,yes,benton,gallatin,uncoated,uncoated,no,line,yes,motter70,813,1,catalog,northus,1911.0,40.0,54.0,0.3,15.0,70.0,?,?,10.0,?,50.0,40.0,0.0,0.0,2.5,0.8,60.0,30.0,100.0,100.0,1
19920105,i365,childcraft,34250,yes,key,yes,benton,gallatin,uncoated,cover,no,line,no,woodhoe70,816,2,catalog,?,1911.0,50.0,47.0,0.2,15.0,80.0,0.625,28.0,0.0,1750.0,59.0,41.0,0.0,0.0,1.0,1.0,38.0,40.0,91.89,100.0,0
19900507,t383,modmat,47103,no,key,yes,benton,gallatin,coated,coated,no,line,yes,motter70,813,10,catalog,northus,1910.0,40.0,54.0,0.267,14.42,87.0,1.0,?,4.5,1700.0,56.2,39.3,0.0,0.0,2.5,1.0,40.0,33.0,96.8,100.0,1
19900801,j15,wards,36882,no,key,yes,benton,gallatin,coated,coated,no,line,yes,woodhoe70,816,2,tabloid,canadian,1910.0,45.0,53.0,0.3,15.2,78.0,1.0,?,13.3,2150.0,51.0,35.7,2.0,0.0,2.5,1.1,30.0,35.0,111.1,100.0,1
19910123,f492,uscav,35521,yes,key,yes,benton,gallatin,uncoated,uncoated,no,line,yes,motter70,813,1,catalog,canadian,1911.0,60.0,38.0,0.333,16.5,66.0,0.75,?,6.7,1400.0,56.2,37.1,0.0,0.0,1.1,1.4,32.0,40.0,103.22,100.0,1
19910507,m410,modmat,47203,yes,key,yes,benton,gallatin,uncoated,uncoated,no,line,no,albert70,802,2,catalog,northus,1910.0,50.0,55.0,0.233,13.86,70.0,0.625,47.0,10.2,1635.0,51.0,38.8,0.0,0.0,3.0,1.0,40.0,40.0,100.0,100.0,1
19910307,f615,modmat,47202,yes,key,yes,benton,gallatin,uncoated,uncoated,no,line,yes,motter70,813,1,catalog,northus,1910.0,52.5,45.0,0.2,15.3,72.0,0.75,?,12.4,1600.0,51.5,36.1,0.0,0.0,2.5,1.0,40.0,40.0,109.67,100.0,1
19910502,f416,modmat,47203,yes,key,yes,benton,gallatin,coated,coated,no,line,no,motter70,813,9,catalog,northus,1910.0,55.0,55.0,0.3,16.3,100.0,1.0,?,0.0,1650.0,58.8,41.2,0.0,0.0,?,?,40.0,40.0,106.66,100.0,0
19910604,x818,kmart,37365,no,key,yes,benton,gallatin,uncoated,coated,no,line,yes,motter94,828,2,tabloid,scandanavian,1910.0,47.5,68.0,0.4,16.0,80.0,0.75,30.0,0.0,2250.0,58.8,41.2,0.0,0.0,1.5,1.0,35.0,40.0,106.45,100.0,1
19900606,r4,target,34546,no,key,yes,benton,gallatin,coated,coated,no,line,yes,woodhoe70,816,9,spiegel,canadian,1911.0,37.5,54.0,0.3,14.5,80.0,1.0,20.0,10.9,2400.0,54.3,34.8,0.0,0.0,2.5,0.4,30.0,40.0,103.3,100.0,1
19900510,f672,modmat,47103,yes,key,yes,benton,gallatin,uncoated,uncoated,no,line,yes,woodhoe70,816,2,catalog,northus,1910.0,60.0,50.0,0.3,15.0,72.0,0.75,30.0,15.9,1700.0,44.2,39.8,1.0,0.0,3.0,0.5,40.0,33.0,100.0,100.0,0
19900825,x60,ames,38013,no,key,yes,benton,gallatin,uncoated,coated,no,line,yes,motter94,824,9,tabloid,?,1910.0,45.0,55.0,0.3,16.1,82.0,0.75,30.0,0.0,2400.0,58.8,41.2,0.0,0.0,2.0,0.8,30.0,45.0,93.75,100.0,1
19910301,e69,kmart,37386,yes,key,yes,benton,gallatin,uncoated,uncoated,no,line,yes,motter94,827,2,tabloid,southus,1910.0,40.0,39.0,0.233,15.0,77.0,0.75,20.0,9.4,2000.0,52.1,38.5,0.0,0.0,2.5,1.0,40.0,40.0,103.22,100.0,1
19910130,e310,kmart,37352,no,key,yes,benton,gallatin,uncoated,coated,no,line,yes,motter94,827,2,tabloid,scandanavian,1911.0,50.0,45.0,0.3,15.2,72.0,1.0,25.0,5.9,2150.0,58.8,35.3,0.0,0.0,2.5,1.0,35.0,40.0,107.4,100.0,1
19910213,x291,roses,35752,no,key,yes,benton,gallatin,coated,coated,no,line,yes,motter94,824,9,tabloid,canadian,1910.0,50.0,43.0,0.2,17.0,84.0,?,35.0,0.0,2300.0,55.6,44.4,0.0,0.0,2.0,0.8,30.0,40.0,103.22,100.0,1
19901002,g150,kmart,36197,no,key,yes,benton,gallatin,uncoated,uncoated,no,line,yes,woodhoe70,816,2,tabloid,mideuropean,1911.0,55.0,50.0,0.2,17.0,78.0,0.25,32.0,9.7,1900.0,52.2,38.1,0.0,0.0,3.0,0.9,35.0,40.0,96.97,90.0,0
19910822,r30,sheplers,35529,yes,key,yes,benton,gallatin,uncoated,uncoated,no,line,yes,albert70,802,7,spiegel,?,1911.0,47.5,58.0,0.217,13.1,70.0,?,55.0,10.0,1660.0,50.0,40.0,0.0,0.0,2.9,1.0,34.0,40.0,96.88,100.0,0
19910627,x820,wards,37502,no,key,yes,benton,gallatin,coated,coated,no,line,no,motter94,824,2,tabloid,canadian,1910.0,?,66.0,0.2,15.0,82.0,0.8125,30.0,7.0,1900.0,58.1,34.9,5.0,0.0,2.5,0.9,30.0,40.0,103.125,100.0,0
19901215,f372,downs,35525,yes,key,yes,benton,gallatin,uncoated,uncoated,no,line,yes,woodhoe70,815,2,catalog,northus,1910.0,40.0,54.0,0.267,22.2,77.0,0.625,32.0,6.25,1000.0,56.25,37.5,0.0,0.0,3.0,1.2,40.0,40.0,106.45,100.0,0
19910829,i303,childcraft,37001,yes,key,yes,benton,gallatin,uncoated,uncoated,no,line,yes,albert70,802,7,catalog,?,1910.0,60.0,60.0,0.233,15.0,80.0,0.75,56.0,14.3,1380.0,47.6,38.1,0.0,0.0,3.0,1.0,38.0,40.0,106.4,100.0,1
19901007,m65,casliving,38059,yes,key,yes,benton,gallatin,uncoated,uncoated,no,line,no,albert70,802,2,catalog,northus,1910.0,42.5,52.0,0.233,18.0,70.0,0.625,45.0,0.0,1700.0,58.8,41.2,0.0,0.0,3.0,0.7,34.0,40.0,103.125,100.0,1
19900825,x727,ames,38013,no,key,yes,benton,gallatin,uncoated,coated,no,line,yes,motter94,824,2,tabloid,?,1910.0,40.0,55.0,0.5329999999999999,15.4,80.0,0.8125,30.0,10.2,2400.0,51.0,38.8,0.0,0.0,1.7,0.7,30.0,45.0,93.75,100.0,1
19920918,aa29,kmart,34534,?,key,?,?,gallatin,super,uncoated,no,?,yes,motter94,821,7,spiegel,?,1911.0,?,60.0,0.267,14.8,80.0,0.625,25.0,?,1850.0,?,?,?,?,2.5,1.0,?,40.0,96.9,100.0,0
19910524,j62,hills,37915,no,key,yes,benton,gallatin,coated,coated,no,line,yes,woodhoe70,815,9,tabloid,?,1911.0,50.0,62.0,0.4,14.9,96.0,0.75,26.0,11.0,1950.0,50.0,39.0,0.0,0.0,2.8,0.8,33.0,40.0,110.0,100.0,1
19900507,m257,homeshopping,36928,no,key,yes,benton,gallatin,coated,coated,no,line,yes,woodhoe70,815,2,catalog,canadian,1910.0,40.0,54.0,0.3,15.0,88.0,0.75,28.0,0.0,1800.0,58.8,41.2,0.0,0.0,2.5,1.2,30.0,33.0,100.0,100.0,1
