Abbrev,Rep,Locality,Map_Ref,Latitude,Altitude,Rainfall,Frosts,Year,Sp,PMCno,DBH,Ht,Surv,Vig,Ins_res,Stem_Fm,Crown_Fm,Brnch_Fm,binaryClass
Cly,2,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,co,1520.0,25.92,12.12,?,3.3,3.0,4.0,3.5,3.5,1
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,sm,1340.0,8.8,6.3,100.0,2.0,2.0,1.0,2.0,2.0,0
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,rd,1524.0,2.57,3.08,75.0,2.0,2.0,2.0,4.0,3.0,0
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,re,2430.0,13.0,10.4,4.0,3.0,3.5,2.5,2.0,4.0,0
Nga,1,Southern_Hawkes_Bay,N145_874/586,40__11,130,1000,-3,1980,mn,1362.0,4.7,5.5,20.0,1.0,1.5,2.0,3.0,3.0,0
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,re,1787.0,3.77,4.88,88.0,4.0,3.5,4.0,4.0,4.0,0
Cly,1,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,ni,2088.0,33.41,8.35,?,4.0,2.8,2.5,1.5,1.5,0
Cly,1,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,nd,1596.0,25.99,9.6,?,4.0,4.0,3.0,4.0,2.7,0
Paw,3,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,nd,2569.0,31.33,10.2,10.0,3.5,4.0,3.0,4.0,3.0,0
Lon,1,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,nd,2569.0,18.44,8.74,100.0,3.5,3.5,2.8,4.0,2.8,1
Lon,2,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,ni,2568.0,20.29,9.27,88.0,2.0,2.5,3.0,3.0,2.0,0
Mor,1,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,co,2562.0,40.44,17.06,?,?,?,?,?,?,0
Paw,3,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,ov,2571.0,41.87,15.25,30.0,4.2,2.8,2.6,3.3,2.2,1
K83,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,cr,1252.0,5.86,5.61,50.0,3.0,4.0,2.5,2.5,3.0,0
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,ob,1337.0,17.1,12.1,5.0,3.0,3.5,3.0,3.0,4.0,0
Wai,2,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,br,1113.0,10.4,9.4,88.0,2.0,1.7,4.0,4.0,4.0,0
WSp,3,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,ni,2547.0,25.4,18.75,13.0,3.7,2.7,2.0,2.5,2.3,0
Cra,3,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,ob,1522.0,16.13,9.95,50.0,4.3,4.5,3.3,3.5,3.0,1
WSp,3,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,ni,2568.0,47.73,18.55,13.0,3.5,2.7,2.0,2.0,2.0,1
WSp,2,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,rd,2575.0,3.62,6.03,25.0,1.0,3.0,2.5,2.5,3.0,0
Mor,1,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,te,3274.0,26.87,10.08,?,?,?,?,?,?,0
Puk,2,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,re,1352.0,11.93,11.0,100.0,3.5,3.0,4.0,4.0,3.5,1
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,nd,2569.0,13.73,7.6,75.0,2.5,2.0,3.0,3.0,3.0,0
Paw,3,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,fa,2548.0,26.51,7.66,10.0,2.5,3.0,3.0,3.0,3.0,0
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,re,1787.0,21.8,13.8,100.0,5.0,3.0,3.0,3.0,2.0,0
Cra,1,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,ni,2088.0,14.5,10.78,90.0,4.0,2.7,3.3,3.0,3.0,1
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,fr,2447.0,13.9,11.1,5.0,3.0,3.0,2.5,2.0,3.0,0
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ob,1337.0,8.63,8.21,100.0,4.0,3.0,3.5,3.5,3.5,1
K81,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ka,1171.0,6.16,4.3,40.0,3.0,2.0,1.0,1.0,1.0,0
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,fr,1786.0,17.74,9.99,100.0,5.0,3.0,3.0,2.5,2.0,0
Mor,3,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,nd,1596.0,30.15,13.73,?,?,?,?,?,?,0
Wai,2,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,br,1112.0,11.9,9.7,100.0,2.3,1.8,3.0,3.5,3.2,0
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ob,2469.0,9.88,8.94,88.0,4.0,3.0,3.5,3.5,3.5,1
Puk,2,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,br,2620.0,7.3,5.91,100.0,2.0,2.0,3.0,4.0,4.0,0
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,fa,2426.0,21.93,9.84,100.0,4.0,3.0,3.5,3.0,2.0,1
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,br,1112.0,11.43,7.83,88.0,3.0,2.0,3.5,4.0,4.0,0
Puk,1,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,nd,2569.0,12.5,6.62,100.0,3.0,3.0,3.0,3.0,3.0,1
WSh,1,Southern_Hawkes_Bay,N151_922/226,40__36,100,1250,-2,1983,fa,2548.0,41.63,12.64,28.0,4.2,3.2,2.3,1.9,1.7,0
