Favorite_Points,Underdog_Points,Pointspread,Favorite_Name,Underdog_name,Year,Week,Weekday,Overtime,binaryClass
21,19,3.0,PHA,NYG,89,5,?,?,0
24,3,4.5,NYJ,SD,91,13,?,?,0
33,10,3.0,SF,LAN,91,13,Monday_Night,?,1
30,20,6.5,MIA,NE,91,11,Sunday_Night,?,0
14,10,7.0,GB,IND,91,13,?,?,0
20,17,2.5,PIT,SD,89,11,?,?,0
28,0,2.5,MIN,PHX,91,9,?,?,1
10,13,9.0,SF,NO,90,16,?,?,0
38,24,5.0,SF,NO,91,14,?,?,0
14,26,6.5,HOU,PIT,91,13,?,?,1
27,0,12.0,CHI,TB,91,16,Saturday,?,0
20,9,2.5,PIT,HOU,90,2,?,?,0
33,14,9.5,MIA,TB,91,14,?,?,0
42,0,3.0,BUF,CLE,90,9,?,?,1
27,0,2.0,NO,LAA,91,16,Monday_Night,?,0
33,31,2.0,WAS,DAL,91,2,Monday_Night,?,1
38,23,3.5,LAN,CLE,90,13,?,?,1
17,10,9.0,PHA,CIN,91,12,?,?,0
21,14,4.0,CIN,CLE,89,3,Monday_Night,?,0
12,16,4.0,PIT,CIN,90,13,?,?,0
19,7,3.0,SD,DEN,90,10,?,?,0
15,13,3.5,GB,TB,91,3,?,?,0
26,21,9.5,WAS,SD,89,14,?,?,0
27,0,10.0,HOU,PIT,89,7,?,?,0
20,13,7.0,NO,ATL,89,8,?,?,0
27,10,8.5,SF,LAN,91,4,?,?,0
24,21,2.0,KC,SD,90,16,?,?,1
35,31,10.0,HOU,DET,89,9,?,?,0
28,24,13.0,HOU,CLE,91,12,Sunday_Night,?,0
10,16,2.0,ATL,PHX,91,8,?,?,1
27,7,2.0,NYJ,ATL,89,12,?,?,0
30,27,9.0,BUF,NYJ,90,7,?,?,0
42,13,0.0,IND,MIA,89,15,?,?,0
26,7,1.0,ATL,DAL,90,17,?,?,0
26,13,6.0,ATL,SEA,91,16,?,?,0
20,10,6.5,MIA,NE,91,6,?,?,1
14,24,5.5,CLE,SD,90,3,?,?,0
10,27,3.5,KC,HOU,90,15,?,?,0
17,14,3.0,CHI,CIN,89,1,?,?,0
35,0,10.5,PIT,CLE,90,16,?,?,0
31,0,5.5,CLE,IND,91,14,?,?,1
7,17,0.0,CLE,DEN,91,15,?,?,0
34,31,9.0,DEN,SEA,90,3,?,yes,0
16,15,2.5,ATL,NE,89,6,?,?,0
20,17,9.0,KC,SD,91,15,?,yes,0
27,30,2.0,LAA,BUF,91,15,?,yes,0
23,14,2.0,DAL,NO,91,15,?,?,0
19,13,10.5,SF,ATL,90,3,?,?,0
20,17,13.0,SF,CLE,90,8,?,?,0
28,35,6.0,WAS,IND,90,16,Saturday,?,1
31,17,9.5,CHI,IND,91,12,?,?,1
20,23,6.0,IND,NE,89,8,?,yes,0
27,24,1.0,MIA,NE,90,1,?,?,1
35,31,8.5,ATL,GB,91,14,?,?,0
31,17,4.0,BUF,MIA,89,8,?,?,0
27,24,3.5,NO,SEA,91,1,?,?,0
24,7,3.0,PIT,NYJ,90,12,?,?,1
24,17,4.0,NO,LAN,91,10,?,?,1
33,24,1.5,DET,IND,91,4,?,?,1
33,40,4.0,MIA,NYJ,89,3,?,?,0
20,17,3.0,NYG,WAS,89,6,?,?,0
21,24,9.0,LAN,DAL,90,11,?,?,0
13,10,0.0,SEA,HOU,90,13,?,?,0
35,3,7.0,SF,DET,91,8,?,?,0
20,10,7.0,GB,DAL,89,16,?,?,1
24,20,6.5,SF,GB,90,9,?,?,1
17,10,8.0,BUF,TB,91,4,?,?,1
21,14,3.0,DET,ATL,90,2,?,?,0
56,23,6.5,CIN,TB,89,8,?,?,0
27,3,2.5,CIN,PIT,90,11,Sunday_Night,?,0
13,34,2.5,CLE,CIN,90,7,Monday_Night,?,0
6,13,5.0,MIN,DEN,91,5,Sunday_Night,?,0
13,23,4.0,HOU,NE,89,5,?,?,1
30,7,2.0,BUF,NYJ,90,3,Monday_Night,?,1
21,20,3.5,PHA,DAL,90,8,?,?,1
0,34,1.5,HOU,KC,89,12,?,?,1
17,23,1.0,CLE,IND,89,14,?,yes,1
26,10,8.0,BUF,IND,90,1,?,?,0
6,13,6.5,HOU,PHA,91,14,Monday_Night,?,0
13,16,7.5,CHI,MIA,91,13,?,yes,0
31,17,6.0,LAN,IND,89,2,?,?,0
13,16,0.0,KC,DEN,89,10,?,?,0
20,10,12.0,PHA,DAL,89,14,?,?,0
42,7,7.0,NYJ,NE,90,16,?,?,0
16,14,1.5,WAS,NO,89,4,?,?,1
31,3,5.0,DET,TB,91,5,?,?,0
7,17,9.0,CLE,PIT,89,6,?,?,0
24,27,3.5,MIA,KC,89,16,?,?,0
7,28,1.5,CIN,LAA,89,9,?,?,1
37,13,7.5,MIA,CIN,91,15,Monday_Night,?,0
23,10,9.5,SF,ATL,89,13,?,?,1
23,20,6.5,GB,DET,89,8,?,yes,0
3,23,2.5,DET,PIT,89,4,?,?,0
23,7,4.0,SF,PHA,91,9,?,?,1
26,13,6.5,SF,WAS,90,2,?,?,0
17,24,10.0,CIN,SEA,89,14,?,?,0
29,14,5.5,NO,NYJ,89,6,?,?,0
31,17,5.0,WAS,NO,90,11,?,?,0
27,0,6.0,PHA,DAL,89,12,Thursday,?,1
24,20,7.0,PHX,DAL,89,10,?,?,0
30,7,6.5,BUF,IND,89,10,?,?,0
24,7,9.0,NYG,IND,90,9,Monday_Night,?,1
31,27,3.5,DAL,ATL,91,17,?,?,0
34,27,4.0,HOU,SD,89,2,?,?,1
30,24,9.0,CHI,ATL,90,10,?,?,0
24,7,3.0,BUF,CIN,89,12,?,?,0
24,20,3.0,DET,MIN,91,6,?,?,0
48,20,9.5,PHA,NE,90,9,?,?,0
24,7,5.5,LAA,CIN,90,15,?,?,0
13,10,3.0,SEA,DEN,91,13,?,?,0
27,6,11.0,WAS,LAN,91,14,?,?,1
14,17,3.0,SF,MIN,91,3,?,?,1
29,14,5.0,WAS,BUF,90,17,?,?,0
26,16,4.0,CIN,PIT,89,5,?,?,1
21,9,4.0,PIT,ATL,90,9,?,?,0
41,10,10.0,CIN,PIT,89,2,?,?,0
27,7,2.5,MIA,IND,90,8,?,?,1
35,16,13.0,BUF,CIN,91,8,Monday_Night,?,0
23,20,3.0,MIA,GB,89,7,?,?,0
24,14,11.0,NYG,DET,89,2,?,?,0
23,9,6.0,SEA,LAN,91,17,Sunday_Night,?,0
20,3,2.0,PHX,DAL,90,6,?,?,0
7,27,6.0,MIN,GB,91,17,Saturday,?,0
21,10,1.0,KC,CHI,90,17,Saturday,?,1
33,20,2.5,SEA,NE,90,5,?,?,1
38,24,7.0,CLE,NYJ,89,2,?,?,0
7,30,2.0,BUF,MIA,90,2,?,?,1
20,14,9.5,MIN,LAN,91,16,?,?,0
3,10,5.0,PHA,WAS,89,10,?,?,0
38,31,3.0,LAA,DET,90,14,Monday_Night,?,1
17,34,3.0,MIN,CHI,91,11,Monday_Night,?,0
13,14,1.5,PHX,TB,89,12,?,?,0
31,22,2.0,PIT,TB,89,16,?,?,1
20,0,13.0,NYG,DET,90,11,?,?,0
47,27,1.0,ATL,HOU,90,1,?,?,0
20,13,5.0,SEA,NYJ,91,2,?,?,0
