ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,binaryClass
3.5,7.8,202.0,431.0,200.0,74.0,5.0,1302,7.7,199.0,184,78.3,4.7,1307,7.6,124.0,269.0,96.0,75.0,0.4,1334,7.4,17.0,63.0,20.0,85.0,0.05,1473.0,37.7,47.8,91.5,86.3,76.6,91.6,85.4,90.0,1
0.35,7.6,120.0,344.0,136.0,54.4,4.5,993,7.5,?,188,55.3,3.0,972,7.6,?,259.0,70.0,48.6,0.2,921,7.5,16.0,97.0,17.0,51.8,0.03,903.0,?,62.8,93.3,?,62.5,86.7,71.8,87.5,0
2.0,8.0,125.0,324.0,362.0,35.9,5.0,1093,7.7,297.0,804,32.8,13.0,1086,7.9,84.0,204.0,124.0,53.2,0.6,1105,7.9,28.0,128.0,14.0,74.3,0.02,1008.0,71.7,84.6,95.4,66.7,37.3,77.6,60.5,96.1,0
0.6,7.9,85.0,269.0,110.0,?,1.5,1342,7.8,139.0,198,?,4.0,1325,7.8,65.0,168.0,65.0,?,0.2,1362,7.9,15.0,?,23.0,?,0.0,1375.0,53.2,67.2,95.0,76.9,?,82.4,?,79.1,0
1.9,7.9,195.0,428.0,210.0,69.5,6.5,1835,8.2,194.0,250,56.8,3.5,1873,8.2,121.0,289.0,104.0,67.3,0.2,1855,8.0,15.0,75.0,22.0,72.7,0.01,1820.0,37.6,58.4,94.3,87.6,74.0,92.3,82.5,89.5,0
1.6,7.7,203.0,357.0,222.0,58.6,3.0,1828,7.6,215.0,208,73.1,5.0,1817,7.6,98.0,169.0,86.0,65.1,0.2,1890,7.6,9.0,73.0,13.0,?,0.0,1868.0,54.4,58.7,96.0,90.8,56.8,95.6,79.6,94.1,0
6.45,7.5,161.0,392.0,266.0,48.1,6.0,1156,7.8,252.0,208,47.1,3.5,1105,7.9,110.0,238.0,82.0,78.0,0.4,1108,7.7,15.0,59.0,13.0,83.1,0.02,1035.0,56.3,60.6,88.6,86.4,75.2,90.7,84.9,95.1,0
0.8,7.8,169.0,337.0,132.0,75.8,2.5,1568,7.9,192.0,204,68.6,4.5,1526,7.9,137.0,332.0,126.0,77.8,1.8,1516,7.7,14.0,71.0,14.0,94.3,0.02,1450.0,28.6,38.2,60.0,89.8,78.6,91.7,78.9,89.4,0
1.0,7.6,202.0,426.0,248.0,80.6,5.5,2310,7.7,326.0,404,56.4,7.0,2180,7.7,142.0,280.0,146.0,65.8,0.6,1909,7.7,33.0,92.0,23.0,73.0,0.02,1813.0,56.4,63.9,92.1,76.8,67.1,83.7,78.4,90.7,0
0.88,7.6,153.0,464.0,274.0,55.5,5.5,1149,7.7,142.0,284,53.5,6.0,1165,7.7,82.0,228.0,74.0,75.7,0.2,1157,7.7,21.0,92.0,18.0,82.2,0.1,1180.0,42.3,73.9,96.7,74.4,59.6,86.3,80.2,93.4,1
1.5,7.5,277.0,523.0,324.0,67.9,7.0,1817,7.6,315.0,348,56.3,9.0,1816,7.8,154.0,297.0,84.0,66.7,0.2,1829,7.7,21.0,53.0,19.0,77.9,0.0,1819.0,51.1,75.9,98.3,86.4,82.2,92.4,89.9,94.1,0
1.5,7.9,91.0,325.0,122.0,77.0,3.5,1026,7.9,109.0,124,93.5,3.7,1063,7.8,81.0,227.0,64.0,96.9,0.4,983,7.7,15.0,74.0,11.0,100.0,0.0,1039.0,25.7,48.4,89.2,81.5,67.4,83.5,77.2,91.0,0
0.27,7.4,112.0,470.0,172.0,65.1,4.5,1207,7.4,100.0,192,64.6,4.0,1208,7.4,74.0,213.0,69.0,72.5,0.2,1175,7.6,14.0,97.0,15.0,72.0,0.01,1162.0,26.0,64.1,95.0,81.1,54.5,87.5,79.4,91.3,0
3.7,8.1,102.0,269.0,156.0,52.6,2.5,1082,7.9,177.0,152,52.6,2.5,1180,8.0,68.0,165.0,76.0,71.1,0.2,1041,7.8,10.0,54.0,13.0,83.1,0.02,1079.0,61.6,50.0,92.0,85.3,67.3,90.2,79.9,91.7,0
6.0,8.2,185.0,334.0,156.0,60.3,4.0,1987,8.3,217.0,162,64.2,4.0,2100,8.2,121.0,299.0,114.0,64.9,0.5,2050,7.9,16.0,65.0,11.0,80.0,0.03,2040.0,44.2,29.6,87.5,86.8,78.3,91.4,80.5,92.9,0
2.0,7.9,240.0,887.0,314.0,76.4,7.0,2120,7.9,158.0,292,74.0,7.2,2200,7.9,167.0,511.0,136.0,75.0,0.7,2190,7.7,26.0,95.0,23.0,92.2,0.02,2170.0,?,53.4,91.0,84.4,81.4,89.2,89.3,92.7,0
0.5,8.0,?,307.0,196.0,60.2,4.0,1557,8.0,?,228,49.1,5.0,1575,8.0,?,233.0,96.0,62.5,0.3,1620,7.9,?,74.0,26.0,60.0,0.01,1639.0,?,57.9,94.0,?,68.2,?,75.9,86.7,0
1.0,8.1,?,516.0,164.0,75.6,3.5,1548,8.1,?,232,74.1,5.5,1545,7.9,?,326.0,94.0,93.6,0.6,1415,7.6,?,113.0,37.0,95.5,0.02,1409.0,?,59.5,90.0,?,65.3,?,78.1,77.4,0
2.7,8.3,173.0,427.0,208.0,71.2,5.5,1979,8.4,221.0,204,70.6,5.0,1955,8.3,113.0,291.0,82.0,82.9,0.2,1862,7.7,16.0,105.0,20.0,86.0,0.02,1789.0,48.9,59.8,97.0,85.8,63.9,90.8,75.4,90.4,0
1.1,7.6,149.0,412.0,208.0,57.7,4.3,1593,7.7,127.0,194,60.8,4.0,1710,7.7,96.0,298.0,128.0,65.6,0.7,1606,7.8,17.0,110.0,22.0,83.6,0.0,1602.0,24.4,34.0,82.5,82.3,63.1,88.6,73.3,89.4,0
1.5,7.8,120.0,303.0,290.0,?,4.5,1818,7.8,125.0,250,?,4.0,1800,7.8,78.0,192.0,68.0,?,0.2,1846,7.9,10.0,76.0,10.0,?,0.02,1723.0,37.6,72.8,95.0,87.2,60.4,91.7,74.9,96.6,0
1.0,8.1,133.0,288.0,162.0,56.8,2.3,1050,8.1,133.0,152,63.2,2.5,1116,8.0,97.0,220.0,70.0,77.1,0.2,1142,7.9,32.0,128.0,40.0,82.5,0.05,1187.0,27.1,53.9,94.0,67.0,41.8,75.9,55.6,75.3,1
2.24,8.4,195.0,392.0,188.0,70.2,4.0,2790,8.2,218.0,210,66.7,4.0,2680,8.0,130.0,267.0,82.0,78.0,0.3,2550,7.9,18.0,86.0,19.0,78.9,0.0,2520.0,40.4,61.0,93.8,86.2,67.8,90.8,78.1,89.9,0
0.55,7.4,159.0,394.0,170.0,69.4,3.0,1450,7.4,155.0,196,60.2,3.0,1556,7.4,111.0,?,78.0,71.8,0.1,1690,7.6,16.0,110.0,26.0,78.5,0.01,1693.0,28.4,60.2,98.3,85.6,?,89.9,72.1,84.7,0
2.0,7.7,244.0,607.0,380.0,53.7,6.0,2160,7.8,242.0,436,54.1,8.0,2220,7.9,139.0,353.0,164.0,45.9,1.8,2120,8.0,18.0,104.0,26.0,72.3,0.0,2270.0,42.6,62.4,77.5,87.1,70.5,92.6,82.9,93.2,0
0.7,7.7,269.0,423.0,192.0,67.7,6.0,1164,7.9,360.0,266,58.6,7.0,1170,7.9,145.0,314.0,94.0,70.2,0.6,1222,7.7,16.0,110.0,15.0,97.8,0.0,1149.0,59.7,64.7,91.4,89.0,65.0,94.1,74.0,92.2,0
1.5,7.8,174.0,404.0,192.0,63.5,3.5,1056,7.7,182.0,210,61.0,4.5,1064,7.7,140.0,243.0,104.0,76.9,0.4,1078,7.7,13.0,55.0,18.0,83.3,0.0,1165.0,23.1,50.5,91.1,90.7,77.4,92.5,86.4,90.6,0
1.2,7.4,250.0,447.0,252.0,61.1,7.0,1533,7.4,275.0,216,57.4,6.5,1501,7.4,138.0,269.0,90.0,73.3,0.5,1458,7.3,14.0,9.0,20.0,82.5,0.0,1402.0,49.8,58.3,92.3,89.9,96.8,94.4,98.1,92.1,0
15.0,7.5,75.0,133.0,142.0,39.4,2.0,860,7.6,127.0,172,46.5,1.8,838,7.6,73.0,124.0,62.0,67.7,0.3,871,7.3,9.0,32.0,12.0,80.0,0.0,889.0,42.5,64.0,86.1,87.7,74.2,88.0,75.9,91.5,0
1.2,8.2,172.0,345.0,152.0,73.7,4.3,1552,8.2,286.0,156,74.4,3.5,1500,8.2,140.0,310.0,74.0,83.8,0.2,1736,7.8,16.0,85.0,14.0,94.3,0.0,1679.0,51.0,52.6,94.3,88.6,72.6,90.7,75.4,90.8,0
1.2,7.7,156.0,405.0,200.0,74.0,4.0,1856,7.6,178.0,184,71.7,3.5,1976,7.5,128.0,302.0,92.0,78.3,0.3,1920,7.6,19.0,71.0,23.0,78.3,0.01,1706.0,28.1,50.0,91.4,85.2,76.5,87.8,82.5,88.5,0
