Dataset;no_indicators_and_Gain_Imputer_and_No_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_No_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_No_Feature_Selection;no_indicators_and_PPCA_Imputation_and_No_Feature_Selection;no_indicators_and_Soft_Imputation_and_No_Feature_Selection;no_indicators_and_Denoise_autoencoder_imputation_and_No_Feature_Selection;no_indicators_and_No_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_No_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_No_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Denoise_autoencoder_imputation_and_No_Feature_Selection;Indicator_Variables_and_No_Feature_Selection;ppca;softimp;missforest;Gain_Imputer;meanmode;Denoise_autoencoder_imputation;fs;aggressivefs;interpretable;noindicators;best;nofs;indicators;no_indicators_and_Gain_Imputer_and_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_Feature_Selection;no_indicators_and_Soft_Imputation_and_Feature_Selection;no_indicators_and_PPCA_Imputation_and_Feature_Selection;no_indicators_and_Denoise_autoencoder_imputation_and_Feature_Selection;no_indicators_and_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_Feature_Selection;Indicator_Variables_and_Denoise_autoencoder_imputation_and_Feature_Selection;Indicator_Variables_and_Feature_Selection;no_indicators_and_Gain_Imputer;no_indicators_and_Mean-Mode_Imputation;no_indicators_and_Missing_Forest_Imputation;no_indicators_and_Soft_Imputation;no_indicators_and_PPCA_Imputation;no_indicators_and_Denoise_autoencoder_imputation;Indicator_Variables_and_Gain_Imputer;Indicator_Variables_and_Mean-Mode_Imputation;Indicator_Variables_and_Missing_Forest_Imputation;Indicator_Variables_and_Soft_Imputation;Indicator_Variables_and_PPCA_Imputation;Indicator_Variables_and_Denoise_autoencoder_imputation
analcatdata_reviewer;0.601908311;0.599311201;0.660907859;0.606368564;0.596939928;0.660907859;0.609078591;0.667795845;0.646341463;0.656221771;0.610207769;0.659214092;0.667795845;0.659214092;0.656221771;0.659214092;0.600722674;0.620596206;0.660907859;0.660907859;0.651817977;0.592423216;0.614555104;0.591632791;0.607102529;0.589543812;0.659214092;0.561427281;0.585252936;0.5;0.602416441;0.558265583;0.585252936;0.585252936;0.594850949;0.585252936;0.602416441;0.558265583;0.597278681;0.585252936;0.609699639;0.606763776;0.660907859;0.605239386;0.596939928;0.606368564;0.660907859;0.63013776;0.667795845;0.643066847;0.659214092;0.656221771;0.667795845
anneal;0.930767339;0.938377876;0.880690824;0.996010275;0.972181232;0.982264852;0.996010275;0.995600372;0.970350331;0.995955621;0.982702082;0.990872821;0.982305842;0.995955621;0.995955621;0.990872821;0.967125758;0.980980489;0.995600372;0.982305842;0.985899328;0.922418976;0.965513472;0.996010275;0.995955621;0.995955621;0.995955621;0.915969831;0.882808657;0.760944417;0.987101711;0.995245122;0.975023228;0.995245122;0.972563808;0.988276767;0.966961797;0.985899328;0.969585178;0.968191507;0.985899328;0.896048533;0.882808657;0.943228398;0.972181232;0.996010275;0.975023228;0.991282724;0.995600372;0.968656064;0.990872821;0.995955621;0.982305842
audiology;0.993697479;0.991596639;0.99789916;0.995378151;0.992436975;0.993067227;0.993067227;0.99789916;0.992857143;0.989495798;0.991176471;0.998319328;0.994957983;0.991176471;0.989495798;0.992436975;0.975630252;0.989705882;0.99789916;0.993067227;0.979621849;0.979621849;0.997478992;0.993067227;0.993067227;0.993067227;0.992857143;0.979621849;0.985504202;0.979621849;0.979621849;0.979621849;0.979621849;0.979621849;0.974159664;0.985504202;0.979621849;0.979621849;0.979621849;0.979621849;0.979621849;0.992857143;0.99789916;0.979621849;0.992436975;0.995378151;0.993067227;0.991596639;0.99789916;0.981092437;0.979621849;0.989495798;0.979621849
autoHorse;0.981654957;0.982825917;0.989851678;0.989071038;0.981264637;0.975800156;0.987119438;0.989071038;0.988290398;0.993364559;0.988290398;0.990241998;0.975800156;0.988290398;0.993364559;0.990241998;0.966237315;0.989851678;0.989071038;0.966237315;0.966237315;0.983021077;0.93520687;0.987119438;0.988290398;0.988290398;0.988290398;0.966237315;0.967408275;0.966237315;0.966237315;0.900858704;0.966237315;0.966237315;0.966237315;0.967408275;0.966237315;0.996487119;0.966237315;0.966237315;0.966237315;0.987119438;0.989851678;0.966237315;0.981264637;0.989071038;0.966237315;0.988290398;0.989071038;0.966237315;0.990241998;0.993364559;0.966237315
braziltourism;0.720861769;0.716044427;0.616352201;0.668807708;0.708818413;0.730897899;0.668807708;0.726749632;0.724876221;0.668406263;0.708952228;0.725411481;0.714706276;0.668406263;0.668807708;0.708818413;0.640305098;0.6429814;0.616352201;0.714706276;0.643315937;0.640305098;0.646728222;0.640305098;0.643315937;0.668807708;0.640305098;0.6429814;0.634417235;0.640305098;0.640305098;0.724608591;0.6429814;0.640305098;0.63374816;0.634417235;0.640305098;0.724608591;0.640305098;0.6429814;0.640305098;0.631740934;0.616352201;0.643315937;0.708818413;0.668807708;0.730897899;0.640305098;0.726749632;0.640305098;0.640305098;0.668406263;0.714706276
bridges;0.882102273;0.901988636;0.909090909;0.900568182;0.901988636;0.914772727;0.869318182;0.910511364;0.900568182;0.916193182;0.916193182;0.889204545;0.911931818;0.911931818;0.900568182;0.889204545;0.899147727;0.884943182;0.909090909;0.911931818;0.892045455;0.806107955;0.894886364;0.869318182;0.911931818;0.911931818;0.911931818;0.890625;0.844460227;0.852982955;0.891335227;0.892045455;0.879971591;0.892045455;0.848721591;0.844460227;0.891335227;0.884943182;0.856534091;0.847301136;0.824573864;0.904829545;0.909090909;0.901988636;0.901988636;0.900568182;0.914772727;0.909090909;0.910511364;0.909090909;0.889204545;0.916193182;0.911931818
cjs;0.984757589;0.993542199;1;0.987434671;0.996480596;0.999345324;1;1;0.999596909;0.989579395;0.997987323;0.990592683;0.999136829;1;0.539306961;1;1;1;1;1;1;1;1;0.999949961;1;1;1;0.999972201;1;1;1;0.987;0.999810964;0.999958301;0.99997776;1;1;0.996627933;1;1;1;0.999961081;1;1;1;0.987;0.999810964;0.999941621;1;1;1;0.996627933;1
colic;0.845081136;0.852560852;0.839376268;0.848250507;0.84178499;0.852053753;0.839376268;0.838298682;0.862956389;0.85801217;0.872464503;0.865238337;0.855603448;0.874492901;0.85801217;0.835509635;0.880704868;0.862576065;0.829044118;0.829677992;0.829044118;0.829044118;0.829044118;0.829044118;0.860040568;0.855730223;0.867900609;0.845334686;0.829044118;0.836523834;0.835509635;0.838869168;0.829677992;0.829044118;0.839059331;0.829044118;0.835509635;0.838869168;0.854969574;0.829677992;0.829044118;0.845778398;0.829044118;0.848567444;0.835509635;0.838869168;0.829677992;0.861561866;0.829044118;0.880831643;0.865238337;0.85801217;0.829677992
colleges_aaup;0.99738767;0.997444153;0.998856223;0.997698325;0.997542998;0.997881894;0.997698325;0.998856223;0.998856223;0.997761868;0.997020532;0.997302946;0.997161739;0.997761868;0.997761868;0.999025671;0.999025671;0.998616171;0.998616171;0.999025671;0.999025671;0.999025671;0.999025671;0.999025671;0.999025671;0.997761868;0.999025671;0.998616171;0.999152758;0.999025671;0.999025671;0.995799091;0.999096275;0.999025671;0.998616171;0.998616171;0.999025671;0.995799091;0.998616171;0.999025671;0.999025671;0.998616171;0.999152758;0.999025671;0.999025671;0.997698325;0.999096275;0.998616171;0.998616171;0.998616171;0.999025671;0.997761868;0.999025671
cylinder-bands;0.826473234;0.825967161;0.820006748;0.807354926;0.814777328;0.848346829;0.848346829;0.819107063;0.831927575;0.823717949;0.827822762;0.821131354;0.857962213;0.857962213;0.823717949;0.821131354;0.828216374;0.820737742;0.819107063;0.848346829;0.83445794;0.802968961;0.820681511;0.848346829;0.848346829;0.848346829;0.857962213;0.808254611;0.80802969;0.810222672;0.807860999;0.723459289;0.831983806;0.824448943;0.79745839;0.785284525;0.79844242;0.723459289;0.787618084;0.826192083;0.826192083;0.812584345;0.820006748;0.831815115;0.814777328;0.807354926;0.848346829;0.815564552;0.819107063;0.830859199;0.821131354;0.823717949;0.857962213
