Analysis;DatasetID;no_indicators_and_Gain_Imputer_and_No_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_No_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_No_Feature_Selection;no_indicators_and_PPCA_Imputation_and_No_Feature_Selection;no_indicators_and_Soft_Imputation_and_No_Feature_Selection;no_indicators_and_Denoise_autoencoder_imputation_and_No_Feature_Selection;no_indicators_and_No_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_No_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_No_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Denoise_autoencoder_imputation_and_No_Feature_Selection;Indicator_Variables_and_No_Feature_Selection;ppca;softimp;missforest;Gain_Imputer;meanmode;Denoise_autoencoder_imputation;fs;aggressivefs;interpretable;noindicators;best;nofs;indicators;no_indicators_and_Gain_Imputer_and_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_Feature_Selection;no_indicators_and_Soft_Imputation_and_Feature_Selection;no_indicators_and_PPCA_Imputation_and_Feature_Selection;no_indicators_and_Denoise_autoencoder_imputation_and_Feature_Selection;no_indicators_and_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_Feature_Selection;Indicator_Variables_and_Denoise_autoencoder_imputation_and_Feature_Selection;Indicator_Variables_and_Feature_Selection;no_indicators_and_Gain_Imputer;no_indicators_and_Mean-Mode_Imputation;no_indicators_and_Missing_Forest_Imputation;no_indicators_and_Soft_Imputation;no_indicators_and_PPCA_Imputation;no_indicators_and_Denoise_autoencoder_imputation;Indicator_Variables_and_Gain_Imputer;Indicator_Variables_and_Mean-Mode_Imputation;Indicator_Variables_and_Missing_Forest_Imputation;Indicator_Variables_and_Soft_Imputation;Indicator_Variables_and_PPCA_Imputation;Indicator_Variables_and_Denoise_autoencoder_imputation
MAR_25_compas-two-years_outcome;782;13;13;13;13;13;13;13;26;26;26;26;26;26;26;4;15;4;4;5;7;4;12;4;4;4;26;5;7;5;5;5;4;7;4;7;5;15;7;4;8;4;13;5;4;13;4;7;4;26;3;15;7;26
MAR_50_compas-two-years_outcome;783;13;13;13;13;13;13;13;26;26;26;26;26;26;26;13;4;26;26;13;13;10;7;26;13;13;13;26;6;6;5;4;6;10;10;10;7;10;8;8;11;8;13;13;13;4;13;13;26;26;26;26;26;26
MAR_10_churn_outcome;785;20;20;20;20;20;20;20;40;40;40;40;40;40;40;40;40;20;40;40;15;15;9;9;15;15;20;15;14;16;9;9;14;15;15;16;15;13;13;13;15;15;20;16;20;20;20;15;40;40;13;40;40;15
MAR_10_zoo_outcome;786;16;16;16;14;16;16;16;32;32;32;32;32;32;32;32;32;32;32;5;5;5;2;32;16;32;32;32;2;3;1;5;5;4;4;1;5;5;5;1;5;5;16;16;16;5;14;16;32;5;32;32;32;5
MAR_10_page-blocks_outcome;787;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;9;9;11;20;9;4;4;10;9;20;9;9;9;10;8;5;10;10;10;11;11;3;9;13;9;9;10;10;10;10;10;20;11;9;20;20;20
MAR_25_churn_outcome;788;20;20;20;20;20;20;20;40;40;40;40;40;40;40;40;20;20;20;40;15;15;8;9;15;15;20;40;15;15;13;16;12;15;15;13;14;6;9;12;15;15;20;20;20;20;12;15;13;40;40;40;40;40
MAR_25_zoo_outcome;789;16;16;16;16;16;16;16;32;32;32;32;32;32;32;32;6;32;32;32;16;6;2;4;4;32;32;32;5;10;2;6;4;7;4;2;11;3;6;2;7;6;16;16;16;6;4;16;32;32;32;32;32;7
MAR_25_page-blocks_outcome;790;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;10;20;10;20;10;4;10;10;10;10;11;10;10;10;9;5;10;10;15;15;9;6;11;16;11;10;10;10;10;5;10;20;15;11;20;20;20
MAR_10_stock_outcome;796;9;9;9;9;9;9;9;18;18;18;18;18;18;18;18;18;5;9;18;9;5;4;5;5;5;18;5;6;7;5;6;4;6;5;6;5;5;4;5;6;5;9;9;5;9;9;9;18;18;5;18;18;18
MAR_25_stock_outcome;797;9;9;9;9;9;9;9;18;18;18;18;18;18;18;18;18;18;9;9;9;6;3;18;9;18;18;18;9;9;6;8;3;8;6;12;6;5;5;7;8;7;9;9;9;9;9;9;18;18;18;18;18;8
