Dataset;MM;GAIN;MF;SOFT;PPCA;DAE;BI+MM;BI+GAIN;BI+MF;BI+SOFT;BI+PPCA;BI+DAE
real_50\50-Train-jad_analcatdata_reviewer.csv;0.000999928;21.54700136;14.34448123;1.9199965;1.336997747;2.877999067;0.000999928;21.54700136;14.34448123;1.9199965;1.336997747;2.877999067
real_50\50-Train-jad_anneal.csv;0.004000902;34.30900359;118.6921239;1.164000273;4.722002506;7.896998405;0.006001711;34.3110044;118.6941247;1.166001081;4.724003315;7.898999214
real_50\50-Train-jad_audiology.csv;0.007003784;58.38901639;207.8591092;0.984999418;5.95800209;3.974994898;0.007999897;58.3900125;207.8601053;0.985995531;5.958998203;3.975991011
real_50\50-Train-jad_autoHorse.csv;0.001999617;31.48300028;78.36241293;0.963001013;1.682001829;2.476999283;0.001999617;31.48300028;78.36241293;0.963001013;1.682001829;2.476999283
real_50\50-Train-jad_braziltourism.csv;0.001000166;19.82200193;27.37510085;0.88800025;0.81800127;3.016000271;0.001000166;19.82200193;27.37510085;0.88800025;0.81800127;3.016000271
real_50\50-Train-jad_bridges.csv;0.001999855;20.44861341;40.39528251;0.98799634;0.85700202;0.835999727;0.002999544;20.44961309;40.3962822;0.988996029;0.858001709;0.836999416
real_50\50-Train-jad_cjs.csv;0.006000519;35.649997;134.4735918;3.799999952;10.17000794;31.62100029;0.010000706;35.65399718;134.477592;3.804000139;10.17400813;31.62500048
real_50\50-Train-jad_colic.csv;0.003000021;27.87600303;86.36497045;1.197000742;1.102001667;3.30500102;0.003996372;27.87699938;86.3659668;1.197997093;1.102998018;3.305997372
real_50\50-Train-jad_colleges_aaup.csv;0.001999855;22.33700085;50.97019362;1.047994852;2.034000158;11.36099601;0.003999233;22.33900023;50.972193;1.04999423;2.035999537;11.36299539
real_50\50-Train-jad_cylinder-bands.csv;0.001999855;37.9360013;142.5159638;4.81299758;11.56599998;18.12200093;0.003000021;37.93700147;142.516964;4.813997746;11.56700015;18.1230011
real_50\50-Train-jad_dresses-sales.csv;0.001000166;20.62300348;44.47312522;0.947000265;1.156999588;6.889001369;0.001000166;20.62300348;44.47312522;0.947000265;1.156999588;6.889001369
real_50\50-Train-jad_eucalyptus.csv;0.002000093;26.91599917;62.42212558;1.69999814;1.827996969;7.973997116;0.002999544;26.91699862;62.42312503;1.700997591;1.82899642;7.974996567
real_50\50-Train-jad_hepatitis.csv;0.001999855;26.86299992;66.80728245;0.947000027;1.278000593;1.614999533;0.001999855;26.86299992;66.80728245;0.947000027;1.278000593;1.614999533
real_50\50-Train-jad_hungarian.csv;0.000999689;21.38100147;46.48729563;0.898002148;0.986000061;2.332000494;0.001998186;21.38199997;46.48829412;0.899000645;0.986998558;2.332998991
real_50\50-Train-jad_kdd_el_nino-small.csv;0.000998974;21.10899925;27.4008832;1.014002562;0.86300087;5.821995974;0.000998974;21.10899925;27.4008832;1.014002562;0.86300087;5.821995974
real_50\50-Train-jad_mushroom.csv;0.015999794;30.86465526;88.87490392;1.518999577;13.04599905;119.8580129;0.024999619;30.87365508;88.88390374;1.527999401;13.05499887;119.8670127
real_50\50-Train-jad_pbcseq.csv;0.002999306;23.64602923;61.91621089;1.222005844;1.390997887;13.80999732;0.004999876;23.6480298;61.91821146;1.224006414;1.392998457;13.81199789
real_50\50-Train-jad_primary-tumor.csv;0.001999855;24.08900142;53.7636168;0.936998129;1.230000019;2.930998564;0.002998829;24.09000039;53.76461577;0.937997103;1.230998993;2.931997538
real_50\50-Train-jad_profb.csv;0.000998735;20.56038189;28.04561687;0.922997236;0.981002808;7.432997704;0.001998901;20.56138206;28.04661703;0.923997402;0.982002974;7.433997869
real_50\50-Train-jad_schizo.csv;0.000999928;22.42000508;53.9875474;0.929998636;0.887000084;2.357997656;0.000999928;22.42000508;53.9875474;0.929998636;0.887000084;2.357997656
real_50\50-Train-jad_sick.csv;0.009000301;33.72700381;112.8767841;1.083003044;12.41999865;34.35399747;0.013000011;33.73100352;112.8807838;1.087002754;12.42399836;34.35799718
real_50\50-Train-jad_soybean.csv;0.004000187;38.62600183;144.4155838;0.974000692;3.503000021;8.95000124;0.005000591;38.62700224;144.4165843;0.975001097;3.504000425;8.951001644
real_50\50-Train-jad_stress.csv;0.001000166;21.5359993;40.42031145;1.002995491;0.950999975;1.887998581;0.002000809;21.53699994;40.42131209;1.003996134;0.952000618;1.888999224
real_50\50-Train-jad_vote.csv;0.001999855;23.16700387;66.31258726;0.948000431;1.158997059;3.654999971;0.001999855;23.16700387;66.31258726;0.948000431;1.158997059;3.654999971
real_50\50-Train-jad_water-treatment.csv;0.001998663;38.2140007;133.0613525;0.93000102;2.279044151;4.450998783;0.00299859;38.21500063;133.0623524;0.931000948;2.280044079;4.451998711
